"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
159191480,"HCM","1702971890","unknown","497700","31500","5925200","2023-12-19T07:45:03.481Z","2023-12-19T07:45:03.481Z"
159190878,"HCM","1702970988","s","500","31400","5925200","2023-12-19T07:30:00.467Z","2023-12-19T07:30:00.467Z"
159190826,"HCM","1702970987","b","500","31450","5924700","2023-12-19T07:30:00.467Z","2023-12-19T07:30:00.467Z"
159190825,"HCM","1702970987","b","4500","31450","5924700","2023-12-19T07:30:00.467Z","2023-12-19T07:30:00.467Z"
159190782,"HCM","1702970986","b","1000","31450","5919700","2023-12-19T07:30:00.467Z","2023-12-19T07:30:00.467Z"
159190492,"HCM","1702970983","s","14700","31400","5904000","2023-12-19T07:29:55.457Z","2023-12-19T07:29:55.457Z"
159190486,"HCM","1702970983","s","100","31400","5904000","2023-12-19T07:29:55.457Z","2023-12-19T07:29:55.457Z"
159189705,"HCM","1702970972","b","2000","31400","5903900","2023-12-19T07:29:44.511Z","2023-12-19T07:29:44.511Z"
159189639,"HCM","1702970971","b","300","31450","5901900","2023-12-19T07:29:44.511Z","2023-12-19T07:29:44.511Z"
159189638,"HCM","1702970971","b","2500","31400","5901900","2023-12-19T07:29:44.511Z","2023-12-19T07:29:44.511Z"
159189433,"HCM","1702970969","s","5000","31400","5899100","2023-12-19T07:29:41.456Z","2023-12-19T07:29:41.456Z"
159189432,"HCM","1702970969","s","2500","31400","5899100","2023-12-19T07:29:41.456Z","2023-12-19T07:29:41.456Z"
159189383,"HCM","1702970968","b","500","31400","5891600","2023-12-19T07:29:40.470Z","2023-12-19T07:29:40.470Z"
159189382,"HCM","1702970968","b","3200","31400","5891600","2023-12-19T07:29:40.470Z","2023-12-19T07:29:40.470Z"
159188831,"HCM","1702970962","s","1000","31400","5880100","2023-12-19T07:29:35.466Z","2023-12-19T07:29:35.466Z"
159188830,"HCM","1702970962","s","5800","31400","5880100","2023-12-19T07:29:35.466Z","2023-12-19T07:29:35.466Z"
159188829,"HCM","1702970962","s","1000","31400","5880100","2023-12-19T07:29:35.466Z","2023-12-19T07:29:35.466Z"
159188578,"HCM","1702970960","s","100","31400","5880100","2023-12-19T07:29:33.464Z","2023-12-19T07:29:33.464Z"
159188461,"HCM","1702970958","s","1000","31400","5880000","2023-12-19T07:29:32.465Z","2023-12-19T07:29:32.465Z"
159188460,"HCM","1702970958","b","100","31400","5880000","2023-12-19T07:29:32.465Z","2023-12-19T07:29:32.465Z"
159188459,"HCM","1702970958","b","4500","31400","5880000","2023-12-19T07:29:32.465Z","2023-12-19T07:29:32.465Z"
159188458,"HCM","1702970958","b","200","31400","5880000","2023-12-19T07:29:32.465Z","2023-12-19T07:29:32.465Z"
159188457,"HCM","1702970958","b","2300","31400","5880000","2023-12-19T07:29:32.465Z","2023-12-19T07:29:32.465Z"
159188369,"HCM","1702970958","s","800","31350","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188368,"HCM","1702970958","s","1000","31350","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188367,"HCM","1702970958","s","600","31350","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188366,"HCM","1702970958","s","600","31350","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188365,"HCM","1702970958","b","8700","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188364,"HCM","1702970958","b","500","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188363,"HCM","1702970958","b","200","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188362,"HCM","1702970958","b","600","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188361,"HCM","1702970958","b","400","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188360,"HCM","1702970958","b","1300","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188359,"HCM","1702970958","b","1000","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188358,"HCM","1702970958","b","100","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188357,"HCM","1702970958","b","200","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188356,"HCM","1702970958","b","100","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188355,"HCM","1702970958","b","600","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188354,"HCM","1702970958","b","200","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188353,"HCM","1702970958","b","500","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188352,"HCM","1702970958","b","500","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188351,"HCM","1702970958","b","5000","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188350,"HCM","1702970958","b","100","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188349,"HCM","1702970958","b","500","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188348,"HCM","1702970958","b","1000","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188347,"HCM","1702970958","b","500","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188346,"HCM","1702970958","b","100","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188345,"HCM","1702970958","b","100","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188344,"HCM","1702970958","b","1000","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188343,"HCM","1702970958","b","5000","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188342,"HCM","1702970958","b","1800","31400","5871900","2023-12-19T07:29:31.454Z","2023-12-19T07:29:31.454Z"
159188192,"HCM","1702970956","b","100","31400","5838900","2023-12-19T07:29:29.462Z","2023-12-19T07:29:29.462Z"
159188035,"HCM","1702970953","s","500","31350","5838800","2023-12-19T07:29:27.462Z","2023-12-19T07:29:27.462Z"
159188015,"HCM","1702970953","b","5000","31400","5838300","2023-12-19T07:29:26.456Z","2023-12-19T07:29:26.456Z"
159187841,"HCM","1702970951","s","200","31350","5833300","2023-12-19T07:29:24.456Z","2023-12-19T07:29:24.456Z"
159187840,"HCM","1702970951","b","2500","31400","5833300","2023-12-19T07:29:24.456Z","2023-12-19T07:29:24.456Z"
159187205,"HCM","1702970941","b","600","31400","5830600","2023-12-19T07:29:13.465Z","2023-12-19T07:29:13.465Z"
159186760,"HCM","1702970936","s","100","31350","5830000","2023-12-19T07:29:09.467Z","2023-12-19T07:29:09.467Z"
159186651,"HCM","1702970935","s","600","31350","5828900","2023-12-19T07:29:08.462Z","2023-12-19T07:29:08.462Z"
159186650,"HCM","1702970935","s","400","31350","5828900","2023-12-19T07:29:08.462Z","2023-12-19T07:29:08.462Z"
159186638,"HCM","1702970934","s","2600","31350","5828900","2023-12-19T07:29:08.462Z","2023-12-19T07:29:08.462Z"
159186637,"HCM","1702970934","s","500","31350","5828900","2023-12-19T07:29:08.462Z","2023-12-19T07:29:08.462Z"
159186636,"HCM","1702970934","s","700","31350","5828900","2023-12-19T07:29:08.462Z","2023-12-19T07:29:08.462Z"
