"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
159473503,"CSV","1703058289","unknown","18200","40000","122300","2023-12-20T07:45:03.813Z","2023-12-20T07:45:03.813Z"
159469336,"CSV","1703057316","s","800","39900","104100","2023-12-20T07:28:49.766Z","2023-12-20T07:28:49.766Z"
159465651,"CSV","1703057230","s","200","39900","103300","2023-12-20T07:27:23.797Z","2023-12-20T07:27:23.797Z"
159465650,"CSV","1703057230","s","100","39900","103300","2023-12-20T07:27:23.797Z","2023-12-20T07:27:23.797Z"
159464044,"CSV","1703057189","b","1000","40000","103000","2023-12-20T07:26:44.742Z","2023-12-20T07:26:44.742Z"
159461555,"CSV","1703057130","s","100","40000","102000","2023-12-20T07:25:43.765Z","2023-12-20T07:25:43.765Z"
159461502,"CSV","1703057128","b","1900","40000","101900","2023-12-20T07:25:42.759Z","2023-12-20T07:25:42.759Z"
159458433,"CSV","1703057040","s","100","40000","99900","2023-12-20T07:24:14.731Z","2023-12-20T07:24:14.731Z"
159457504,"CSV","1703057015","b","500","40000","96000","2023-12-20T07:23:50.749Z","2023-12-20T07:23:50.749Z"
159457503,"CSV","1703057015","b","3400","40000","96000","2023-12-20T07:23:50.749Z","2023-12-20T07:23:50.749Z"
159454732,"CSV","1703056929","s","500","39950","96000","2023-12-20T07:22:23.750Z","2023-12-20T07:22:23.750Z"
159453976,"CSV","1703056908","s","1600","40000","95500","2023-12-20T07:22:02.726Z","2023-12-20T07:22:02.726Z"
159453364,"CSV","1703056892","s","100","40000","93900","2023-12-20T07:21:46.737Z","2023-12-20T07:21:46.737Z"
159452457,"CSV","1703056867","s","300","40000","93800","2023-12-20T07:21:22.743Z","2023-12-20T07:21:22.743Z"
159451927,"CSV","1703056851","b","100","40000","93500","2023-12-20T07:21:04.739Z","2023-12-20T07:21:04.739Z"
159451926,"CSV","1703056851","b","100","40000","93500","2023-12-20T07:21:04.739Z","2023-12-20T07:21:04.739Z"
159451925,"CSV","1703056851","b","500","40000","93500","2023-12-20T07:21:04.739Z","2023-12-20T07:21:04.739Z"
159451924,"CSV","1703056851","b","200","40000","93500","2023-12-20T07:21:04.739Z","2023-12-20T07:21:04.739Z"
159451923,"CSV","1703056851","b","300","40000","93500","2023-12-20T07:21:04.739Z","2023-12-20T07:21:04.739Z"
159451922,"CSV","1703056851","b","800","40000","93500","2023-12-20T07:21:04.739Z","2023-12-20T07:21:04.739Z"
159451654,"CSV","1703056842","s","600","39950","91500","2023-12-20T07:20:56.721Z","2023-12-20T07:20:56.721Z"
159450728,"CSV","1703056814","b","200","40000","90700","2023-12-20T07:20:28.741Z","2023-12-20T07:20:28.741Z"
159450493,"CSV","1703056806","b","2000","40000","88200","2023-12-20T07:20:20.738Z","2023-12-20T07:20:20.738Z"
159450492,"CSV","1703056806","b","500","40000","88200","2023-12-20T07:20:20.738Z","2023-12-20T07:20:20.738Z"
159447876,"CSV","1703056725","b","500","39900","88200","2023-12-20T07:18:59.728Z","2023-12-20T07:18:59.728Z"
159447534,"CSV","1703056714","s","1300","39900","87700","2023-12-20T07:18:48.746Z","2023-12-20T07:18:48.746Z"
159447533,"CSV","1703056714","s","200","39950","87700","2023-12-20T07:18:48.746Z","2023-12-20T07:18:48.746Z"
159447426,"CSV","1703056710","b","2000","39950","86200","2023-12-20T07:18:44.767Z","2023-12-20T07:18:44.767Z"
159447425,"CSV","1703056710","b","100","39950","86200","2023-12-20T07:18:44.767Z","2023-12-20T07:18:44.767Z"
159447424,"CSV","1703056710","b","100","39950","86200","2023-12-20T07:18:44.767Z","2023-12-20T07:18:44.767Z"
159447423,"CSV","1703056710","b","1000","39950","86200","2023-12-20T07:18:44.767Z","2023-12-20T07:18:44.767Z"
159447422,"CSV","1703056710","b","500","39950","86200","2023-12-20T07:18:44.767Z","2023-12-20T07:18:44.767Z"
159447421,"CSV","1703056710","b","100","39950","86200","2023-12-20T07:18:44.767Z","2023-12-20T07:18:44.767Z"
159447383,"CSV","1703056709","s","100","39900","82400","2023-12-20T07:18:43.726Z","2023-12-20T07:18:43.726Z"
159446005,"CSV","1703056672","s","100","39900","81800","2023-12-20T07:18:06.746Z","2023-12-20T07:18:06.746Z"
159446004,"CSV","1703056672","s","400","39900","81800","2023-12-20T07:18:06.746Z","2023-12-20T07:18:06.746Z"
159445802,"CSV","1703056666","s","100","39900","81800","2023-12-20T07:18:00.727Z","2023-12-20T07:18:00.727Z"
159444664,"CSV","1703056631","b","2000","39900","81700","2023-12-20T07:17:24.741Z","2023-12-20T07:17:24.741Z"
159438385,"CSV","1703056489","b","300","39850","79700","2023-12-20T07:15:03.718Z","2023-12-20T07:15:03.718Z"
159434273,"CSV","1703056388","s","400","39850","79000","2023-12-20T07:13:22.733Z","2023-12-20T07:13:22.733Z"
159428109,"CSV","1703056208","b","100","39850","79000","2023-12-20T07:10:21.711Z","2023-12-20T07:10:21.711Z"
159427317,"CSV","1703056180","b","300","39800","78900","2023-12-20T07:09:54.757Z","2023-12-20T07:09:54.757Z"
159427316,"CSV","1703056180","b","100","39800","78900","2023-12-20T07:09:54.757Z","2023-12-20T07:09:54.757Z"
159427315,"CSV","1703056180","b","1700","39800","78900","2023-12-20T07:09:54.757Z","2023-12-20T07:09:54.757Z"
159427314,"CSV","1703056180","b","300","39800","78900","2023-12-20T07:09:54.757Z","2023-12-20T07:09:54.757Z"
