"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
159470471,"HBS","1703057356","b","100","8200","11400","2023-12-20T07:29:17.773Z","2023-12-20T07:29:17.773Z"
159449263,"HBS","1703056783","s","100","8100","11300","2023-12-20T07:19:44.733Z","2023-12-20T07:19:44.733Z"
159435068,"HBS","1703056423","s","4600","8100","11200","2023-12-20T07:13:45.741Z","2023-12-20T07:13:45.741Z"
159420851,"HBS","1703055953","s","2000","8000","6600","2023-12-20T07:05:54.731Z","2023-12-20T07:05:54.731Z"
159410345,"HBS","1703055515","s","500","8000","4600","2023-12-20T06:58:37.706Z","2023-12-20T06:58:37.706Z"
159334625,"HBS","1703052339","s","200","8000","4100","2023-12-20T06:05:40.653Z","2023-12-20T06:05:40.653Z"
159325043,"HBS","1703046450","s","1000","8000","3900","2023-12-20T04:27:31.553Z","2023-12-20T04:27:31.553Z"
159308740,"HBS","1703044981","b","400","8100","2900","2023-12-20T04:03:03.545Z","2023-12-20T04:03:03.545Z"
159308566,"HBS","1703044971","b","100","8100","2500","2023-12-20T04:02:53.536Z","2023-12-20T04:02:53.536Z"
159209971,"HBS","1703039074","unknown","100","8100","2400","2023-12-20T02:24:36.468Z","2023-12-20T02:24:36.468Z"
159209130,"HBS","1703039037","b","1200","8100","2300","2023-12-20T02:23:59.468Z","2023-12-20T02:23:59.468Z"
159206994,"HBS","1703038943","b","100","8100","1100","2023-12-20T02:22:25.464Z","2023-12-20T02:22:25.464Z"
159193255,"HBS","1703037777","s","900","8100","1000","2023-12-20T02:02:58.435Z","2023-12-20T02:02:58.435Z"
159192989,"HBS","1703037671","s","100","8100","100","2023-12-20T02:01:13.437Z","2023-12-20T02:01:13.437Z"
