"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
160383063,"VHC","1703490292","unknown","18800","73300","871700","2023-12-25T07:45:05.481Z","2023-12-25T07:45:05.481Z"
160382139,"VHC","1703489383","b","200","73300","871700","2023-12-25T07:29:56.453Z","2023-12-25T07:29:56.453Z"
160379538,"VHC","1703489339","b","1000","73300","870500","2023-12-25T07:29:11.468Z","2023-12-25T07:29:11.468Z"
160379138,"VHC","1703489336","b","10000","73300","860500","2023-12-25T07:29:09.537Z","2023-12-25T07:29:09.537Z"
160378134,"VHC","1703489317","b","200","73300","860500","2023-12-25T07:28:50.449Z","2023-12-25T07:28:50.449Z"
160377500,"VHC","1703489305","b","1700","73300","858600","2023-12-25T07:28:38.459Z","2023-12-25T07:28:38.459Z"
160377327,"VHC","1703489302","s","500","73200","858600","2023-12-25T07:28:35.467Z","2023-12-25T07:28:35.467Z"
160376120,"VHC","1703489277","b","100","73300","858000","2023-12-25T07:28:10.465Z","2023-12-25T07:28:10.465Z"
160372447,"VHC","1703489204","b","7800","73200","850200","2023-12-25T07:26:58.451Z","2023-12-25T07:26:58.451Z"
160371980,"VHC","1703489195","s","200","73200","850200","2023-12-25T07:26:48.476Z","2023-12-25T07:26:48.476Z"
160371979,"VHC","1703489195","s","2000","73200","850200","2023-12-25T07:26:48.476Z","2023-12-25T07:26:48.476Z"
160370613,"VHC","1703489166","b","200","73300","848000","2023-12-25T07:26:19.448Z","2023-12-25T07:26:19.448Z"
160370410,"VHC","1703489161","b","8000","73300","847800","2023-12-25T07:26:14.469Z","2023-12-25T07:26:14.469Z"
160370409,"VHC","1703489161","b","2000","73300","847800","2023-12-25T07:26:14.469Z","2023-12-25T07:26:14.469Z"
160370045,"VHC","1703489157","s","100","73200","837800","2023-12-25T07:26:10.462Z","2023-12-25T07:26:10.462Z"
160370044,"VHC","1703489157","s","100","73200","837800","2023-12-25T07:26:10.462Z","2023-12-25T07:26:10.462Z"
160370043,"VHC","1703489157","s","200","73200","837800","2023-12-25T07:26:10.462Z","2023-12-25T07:26:10.462Z"
160369563,"VHC","1703489148","s","1000","73300","837400","2023-12-25T07:26:01.461Z","2023-12-25T07:26:01.461Z"
160369447,"VHC","1703489146","s","200","73300","836000","2023-12-25T07:26:00.461Z","2023-12-25T07:26:00.461Z"
160369446,"VHC","1703489146","s","200","73300","836000","2023-12-25T07:26:00.461Z","2023-12-25T07:26:00.461Z"
160368867,"VHC","1703489131","s","4800","73300","826000","2023-12-25T07:25:45.444Z","2023-12-25T07:25:45.444Z"
160368866,"VHC","1703489131","s","100","73300","826000","2023-12-25T07:25:45.444Z","2023-12-25T07:25:45.444Z"
160368865,"VHC","1703489131","s","100","73300","826000","2023-12-25T07:25:45.444Z","2023-12-25T07:25:45.444Z"
160368864,"VHC","1703489131","s","5000","73300","826000","2023-12-25T07:25:45.444Z","2023-12-25T07:25:45.444Z"
160368774,"VHC","1703489129","b","1200","73400","824800","2023-12-25T07:25:42.446Z","2023-12-25T07:25:42.446Z"
160368370,"VHC","1703489118","b","12000","73400","824800","2023-12-25T07:25:32.446Z","2023-12-25T07:25:32.446Z"
160367580,"VHC","1703489101","b","10000","73400","812800","2023-12-25T07:25:14.458Z","2023-12-25T07:25:14.458Z"
160366732,"VHC","1703489085","b","6400","73400","802800","2023-12-25T07:24:58.461Z","2023-12-25T07:24:58.461Z"
160366731,"VHC","1703489085","b","8600","73300","802800","2023-12-25T07:24:58.461Z","2023-12-25T07:24:58.461Z"
160366643,"VHC","1703489083","b","100","73300","787800","2023-12-25T07:24:56.449Z","2023-12-25T07:24:56.449Z"
160366593,"VHC","1703489082","s","1300","73200","785700","2023-12-25T07:24:55.474Z","2023-12-25T07:24:55.474Z"
160366592,"VHC","1703489082","s","700","73200","785700","2023-12-25T07:24:55.474Z","2023-12-25T07:24:55.474Z"
160366425,"VHC","1703489078","b","5000","73300","785700","2023-12-25T07:24:51.457Z","2023-12-25T07:24:51.457Z"
160366356,"VHC","1703489077","s","500","73300","780700","2023-12-25T07:24:50.454Z","2023-12-25T07:24:50.454Z"
160366355,"VHC","1703489077","s","2000","73300","780700","2023-12-25T07:24:50.454Z","2023-12-25T07:24:50.454Z"
160366354,"VHC","1703489077","s","3800","73300","780700","2023-12-25T07:24:50.454Z","2023-12-25T07:24:50.454Z"
160366101,"VHC","1703489073","s","100","73300","774400","2023-12-25T07:24:46.461Z","2023-12-25T07:24:46.461Z"
160365525,"VHC","1703489060","s","100","73300","774200","2023-12-25T07:24:33.452Z","2023-12-25T07:24:33.452Z"
160365245,"VHC","1703489052","s","300","73300","772900","2023-12-25T07:24:25.451Z","2023-12-25T07:24:25.451Z"
160365244,"VHC","1703489052","s","1000","73300","772900","2023-12-25T07:24:25.451Z","2023-12-25T07:24:25.451Z"
160365227,"VHC","1703489052","s","700","73300","772200","2023-12-25T07:24:25.451Z","2023-12-25T07:24:25.451Z"
160364826,"VHC","1703489040","s","200","73300","772200","2023-12-25T07:24:12.448Z","2023-12-25T07:24:12.448Z"
160364719,"VHC","1703489035","s","200","73300","771800","2023-12-25T07:24:08.442Z","2023-12-25T07:24:08.442Z"
160364614,"VHC","1703489033","s","500","73500","771800","2023-12-25T07:24:05.447Z","2023-12-25T07:24:05.447Z"
160364289,"VHC","1703489022","s","700","73300","771300","2023-12-25T07:23:55.452Z","2023-12-25T07:23:55.452Z"
160364288,"VHC","1703489022","s","600","73500","771300","2023-12-25T07:23:55.452Z","2023-12-25T07:23:55.452Z"
160364274,"VHC","1703489022","s","700","73500","769300","2023-12-25T07:23:54.447Z","2023-12-25T07:23:54.447Z"
160364150,"VHC","1703489018","b","200","73500","768600","2023-12-25T07:23:51.457Z","2023-12-25T07:23:51.457Z"
160364149,"VHC","1703489018","b","500","73500","768600","2023-12-25T07:23:51.457Z","2023-12-25T07:23:51.457Z"
160364097,"VHC","1703489018","s","400","73300","768200","2023-12-25T07:23:50.453Z","2023-12-25T07:23:50.453Z"
160363088,"VHC","1703488992","s","1300","73300","766200","2023-12-25T07:23:25.456Z","2023-12-25T07:23:25.456Z"
160363087,"VHC","1703488992","s","500","73300","766200","2023-12-25T07:23:25.456Z","2023-12-25T07:23:25.456Z"
160363086,"VHC","1703488992","s","100","73500","766200","2023-12-25T07:23:25.456Z","2023-12-25T07:23:25.456Z"
160363085,"VHC","1703488992","s","100","73500","766200","2023-12-25T07:23:25.456Z","2023-12-25T07:23:25.456Z"
160362106,"VHC","1703488966","s","2000","73500","766200","2023-12-25T07:23:00.452Z","2023-12-25T07:23:00.452Z"
160361929,"VHC","1703488962","s","700","73500","763500","2023-12-25T07:22:55.463Z","2023-12-25T07:22:55.463Z"
160361896,"VHC","1703488962","s","1300","73500","763500","2023-12-25T07:22:55.463Z","2023-12-25T07:22:55.463Z"
160360730,"VHC","1703488932","s","700","73500","761500","2023-12-25T07:22:24.441Z","2023-12-25T07:22:24.441Z"
160360726,"VHC","1703488931","s","200","73500","760200","2023-12-25T07:22:24.441Z","2023-12-25T07:22:24.441Z"
160360725,"VHC","1703488931","s","800","73700","760200","2023-12-25T07:22:24.441Z","2023-12-25T07:22:24.441Z"
160360724,"VHC","1703488931","s","300","73800","760200","2023-12-25T07:22:24.441Z","2023-12-25T07:22:24.441Z"
160360629,"VHC","1703488929","s","300","73800","759900","2023-12-25T07:22:22.456Z","2023-12-25T07:22:22.456Z"
160360352,"VHC","1703488922","s","100","73800","759800","2023-12-25T07:22:15.460Z","2023-12-25T07:22:15.460Z"
160359763,"VHC","1703488909","s","100","73800","759700","2023-12-25T07:22:02.453Z","2023-12-25T07:22:02.453Z"
160359631,"VHC","1703488908","s","300","73800","759400","2023-12-25T07:22:01.465Z","2023-12-25T07:22:01.465Z"
160359447,"VHC","1703488902","b","100","73800","759400","2023-12-25T07:21:55.444Z","2023-12-25T07:21:55.444Z"
160359446,"VHC","1703488902","b","500","73800","759400","2023-12-25T07:21:55.444Z","2023-12-25T07:21:55.444Z"
160359445,"VHC","1703488902","b","500","73800","759400","2023-12-25T07:21:55.444Z","2023-12-25T07:21:55.444Z"
160359444,"VHC","1703488902","b","2000","73800","759400","2023-12-25T07:21:55.444Z","2023-12-25T07:21:55.444Z"
160359443,"VHC","1703488902","b","100","73800","759400","2023-12-25T07:21:55.444Z","2023-12-25T07:21:55.444Z"
160359442,"VHC","1703488902","b","100","73800","759400","2023-12-25T07:21:55.444Z","2023-12-25T07:21:55.444Z"
160359441,"VHC","1703488902","b","100","73800","759400","2023-12-25T07:21:55.444Z","2023-12-25T07:21:55.444Z"
160359426,"VHC","1703488901","s","600","73700","756000","2023-12-25T07:21:55.444Z","2023-12-25T07:21:55.444Z"
160359407,"VHC","1703488901","s","1300","73700","755400","2023-12-25T07:21:54.450Z","2023-12-25T07:21:54.450Z"
160359380,"VHC","1703488900","b","100","73800","754100","2023-12-25T07:21:53.447Z","2023-12-25T07:21:53.447Z"
160359379,"VHC","1703488900","b","500","73800","754100","2023-12-25T07:21:53.447Z","2023-12-25T07:21:53.447Z"
160359378,"VHC","1703488900","b","500","73800","754100","2023-12-25T07:21:53.447Z","2023-12-25T07:21:53.447Z"
160359377,"VHC","1703488900","b","100","73800","754100","2023-12-25T07:21:53.447Z","2023-12-25T07:21:53.447Z"
160359376,"VHC","1703488900","b","100","73800","754100","2023-12-25T07:21:53.447Z","2023-12-25T07:21:53.447Z"
160359375,"VHC","1703488900","b","100","73800","754100","2023-12-25T07:21:53.447Z","2023-12-25T07:21:53.447Z"
160359374,"VHC","1703488900","b","100","73800","754100","2023-12-25T07:21:53.447Z","2023-12-25T07:21:53.447Z"
160359373,"VHC","1703488900","b","200","73800","754100","2023-12-25T07:21:53.447Z","2023-12-25T07:21:53.447Z"
160359372,"VHC","1703488900","b","100","73800","754100","2023-12-25T07:21:53.447Z","2023-12-25T07:21:53.447Z"
160359371,"VHC","1703488900","b","200","73800","754100","2023-12-25T07:21:53.447Z","2023-12-25T07:21:53.447Z"
160358834,"VHC","1703488887","s","200","73700","752100","2023-12-25T07:21:40.445Z","2023-12-25T07:21:40.445Z"
160358439,"VHC","1703488877","b","1000","73700","749800","2023-12-25T07:21:30.448Z","2023-12-25T07:21:30.448Z"
160358438,"VHC","1703488877","b","100","73700","749800","2023-12-25T07:21:30.448Z","2023-12-25T07:21:30.448Z"
160358437,"VHC","1703488877","b","500","73700","749800","2023-12-25T07:21:30.448Z","2023-12-25T07:21:30.448Z"
