"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
160712925,"DGW","1703576690","unknown","37100","52500","1145300","2023-12-26T07:45:03.529Z","2023-12-26T07:45:03.529Z"
160711996,"DGW","1703575783","b","300","52600","1108200","2023-12-26T07:29:55.491Z","2023-12-26T07:29:55.491Z"
160711995,"DGW","1703575783","b","600","52600","1108200","2023-12-26T07:29:55.491Z","2023-12-26T07:29:55.491Z"
160711535,"DGW","1703575772","b","200","52600","1107300","2023-12-26T07:29:44.500Z","2023-12-26T07:29:44.500Z"
160711118,"DGW","1703575760","b","200","52600","1107100","2023-12-26T07:29:33.497Z","2023-12-26T07:29:33.497Z"
160710419,"DGW","1703575749","s","3000","52600","1106900","2023-12-26T07:29:22.489Z","2023-12-26T07:29:22.489Z"
160710418,"DGW","1703575749","s","8300","52600","1106900","2023-12-26T07:29:22.489Z","2023-12-26T07:29:22.489Z"
160710417,"DGW","1703575749","s","200","52600","1106900","2023-12-26T07:29:22.489Z","2023-12-26T07:29:22.489Z"
160710416,"DGW","1703575749","s","200","52600","1106900","2023-12-26T07:29:22.489Z","2023-12-26T07:29:22.489Z"
160710415,"DGW","1703575749","s","100","52600","1106900","2023-12-26T07:29:22.489Z","2023-12-26T07:29:22.489Z"
160710414,"DGW","1703575749","s","100","52600","1106900","2023-12-26T07:29:22.489Z","2023-12-26T07:29:22.489Z"
160710413,"DGW","1703575749","s","1800","52600","1106900","2023-12-26T07:29:22.489Z","2023-12-26T07:29:22.489Z"
160710412,"DGW","1703575749","s","100","52600","1106900","2023-12-26T07:29:22.489Z","2023-12-26T07:29:22.489Z"
160710411,"DGW","1703575749","s","2200","52600","1106900","2023-12-26T07:29:22.489Z","2023-12-26T07:29:22.489Z"
160710247,"DGW","1703575745","b","200","52700","1090900","2023-12-26T07:29:18.499Z","2023-12-26T07:29:18.499Z"
160709757,"DGW","1703575734","b","1000","52700","1090700","2023-12-26T07:29:06.494Z","2023-12-26T07:29:06.494Z"
160709744,"DGW","1703575734","b","100","52700","1089700","2023-12-26T07:29:06.494Z","2023-12-26T07:29:06.494Z"
160709624,"DGW","1703575732","s","100","52600","1089600","2023-12-26T07:29:04.491Z","2023-12-26T07:29:04.491Z"
160709233,"DGW","1703575722","b","1000","52700","1089500","2023-12-26T07:28:54.487Z","2023-12-26T07:28:54.487Z"
160709081,"DGW","1703575718","b","1000","52700","1088500","2023-12-26T07:28:50.502Z","2023-12-26T07:28:50.502Z"
160709080,"DGW","1703575718","b","100","52700","1088500","2023-12-26T07:28:50.502Z","2023-12-26T07:28:50.502Z"
160709079,"DGW","1703575718","b","500","52700","1088500","2023-12-26T07:28:50.502Z","2023-12-26T07:28:50.502Z"
160709078,"DGW","1703575718","b","2000","52700","1088500","2023-12-26T07:28:50.502Z","2023-12-26T07:28:50.502Z"
160709077,"DGW","1703575718","b","200","52700","1088500","2023-12-26T07:28:50.502Z","2023-12-26T07:28:50.502Z"
160709076,"DGW","1703575718","b","500","52700","1088500","2023-12-26T07:28:50.502Z","2023-12-26T07:28:50.502Z"
160709075,"DGW","1703575718","b","1400","52700","1088500","2023-12-26T07:28:50.502Z","2023-12-26T07:28:50.502Z"
160708811,"DGW","1703575713","b","300","52700","1082500","2023-12-26T07:28:46.489Z","2023-12-26T07:28:46.489Z"
160708771,"DGW","1703575712","b","400","52700","1082500","2023-12-26T07:28:45.500Z","2023-12-26T07:28:45.500Z"
160708770,"DGW","1703575712","b","1100","52700","1082500","2023-12-26T07:28:45.500Z","2023-12-26T07:28:45.500Z"
160708175,"DGW","1703575703","b","500","52700","1081000","2023-12-26T07:28:35.488Z","2023-12-26T07:28:35.488Z"
160708040,"DGW","1703575700","b","200","52700","1080500","2023-12-26T07:28:32.491Z","2023-12-26T07:28:32.491Z"
160708000,"DGW","1703575698","b","500","52700","1080300","2023-12-26T07:28:31.489Z","2023-12-26T07:28:31.489Z"
160707999,"DGW","1703575698","b","100","52700","1080300","2023-12-26T07:28:31.489Z","2023-12-26T07:28:31.489Z"
160707718,"DGW","1703575691","b","400","52700","1079700","2023-12-26T07:28:24.526Z","2023-12-26T07:28:24.526Z"
160707717,"DGW","1703575691","b","200","52700","1079700","2023-12-26T07:28:24.526Z","2023-12-26T07:28:24.526Z"
160707032,"DGW","1703575675","b","500","52700","1079100","2023-12-26T07:28:07.494Z","2023-12-26T07:28:07.494Z"
160706410,"DGW","1703575657","s","200","52600","1078600","2023-12-26T07:27:50.494Z","2023-12-26T07:27:50.494Z"
160705637,"DGW","1703575643","b","500","52700","1077900","2023-12-26T07:27:35.489Z","2023-12-26T07:27:35.489Z"
160705427,"DGW","1703575638","b","1500","52700","1077900","2023-12-26T07:27:31.532Z","2023-12-26T07:27:31.532Z"
160705426,"DGW","1703575638","b","500","52700","1077900","2023-12-26T07:27:31.532Z","2023-12-26T07:27:31.532Z"
160705425,"DGW","1703575638","b","1300","52700","1077900","2023-12-26T07:27:31.532Z","2023-12-26T07:27:31.532Z"
160705424,"DGW","1703575638","b","6700","52700","1077900","2023-12-26T07:27:31.532Z","2023-12-26T07:27:31.532Z"
160705250,"DGW","1703575633","b","700","52700","1067900","2023-12-26T07:27:26.480Z","2023-12-26T07:27:26.480Z"
160703883,"DGW","1703575596","s","500","52600","1066700","2023-12-26T07:26:49.474Z","2023-12-26T07:26:49.474Z"
160703514,"DGW","1703575587","s","700","52600","1066700","2023-12-26T07:26:39.488Z","2023-12-26T07:26:39.488Z"
160702858,"DGW","1703575571","s","100","52600","1065900","2023-12-26T07:26:24.501Z","2023-12-26T07:26:24.501Z"
160702447,"DGW","1703575559","s","200","52600","1065900","2023-12-26T07:26:11.499Z","2023-12-26T07:26:11.499Z"
160702159,"DGW","1703575552","s","500","52600","1065700","2023-12-26T07:26:04.474Z","2023-12-26T07:26:04.474Z"
160701601,"DGW","1703575540","s","100","52600","1065200","2023-12-26T07:25:53.485Z","2023-12-26T07:25:53.485Z"
160701247,"DGW","1703575531","b","100","52600","1065100","2023-12-26T07:25:44.505Z","2023-12-26T07:25:44.505Z"
160701246,"DGW","1703575531","b","2000","52600","1065100","2023-12-26T07:25:44.505Z","2023-12-26T07:25:44.505Z"
160701245,"DGW","1703575531","b","100","52600","1065100","2023-12-26T07:25:44.505Z","2023-12-26T07:25:44.505Z"
160701244,"DGW","1703575531","b","3000","52600","1065100","2023-12-26T07:25:44.505Z","2023-12-26T07:25:44.505Z"
160701243,"DGW","1703575531","b","100","52600","1065100","2023-12-26T07:25:44.505Z","2023-12-26T07:25:44.505Z"
160701242,"DGW","1703575531","b","100","52600","1065100","2023-12-26T07:25:44.505Z","2023-12-26T07:25:44.505Z"
160700972,"DGW","1703575526","b","500","52600","1059700","2023-12-26T07:25:39.490Z","2023-12-26T07:25:39.490Z"
160700342,"DGW","1703575511","b","400","52600","1059200","2023-12-26T07:25:24.480Z","2023-12-26T07:25:24.480Z"
160700341,"DGW","1703575511","b","600","52600","1059200","2023-12-26T07:25:24.480Z","2023-12-26T07:25:24.480Z"
