"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
161362120,"DAH","1703749492","unknown","16700","4490","318200","2023-12-28T07:45:05.434Z","2023-12-28T07:45:05.434Z"
161361030,"DAH","1703748587","s","2700","4490","298800","2023-12-28T07:30:00.438Z","2023-12-28T07:30:00.438Z"
161360159,"DAH","1703748576","s","2000","4490","296800","2023-12-28T07:29:49.433Z","2023-12-28T07:29:49.433Z"
161359288,"DAH","1703748566","b","3500","4490","262700","2023-12-28T07:29:39.511Z","2023-12-28T07:29:39.511Z"
161359287,"DAH","1703748566","b","6800","4490","262700","2023-12-28T07:29:39.511Z","2023-12-28T07:29:39.511Z"
161359286,"DAH","1703748566","b","10000","4480","262700","2023-12-28T07:29:39.511Z","2023-12-28T07:29:39.511Z"
161359285,"DAH","1703748566","b","5000","4480","262700","2023-12-28T07:29:39.511Z","2023-12-28T07:29:39.511Z"
161359284,"DAH","1703748566","b","3500","4480","262700","2023-12-28T07:29:39.511Z","2023-12-28T07:29:39.511Z"
161359283,"DAH","1703748566","b","2600","4480","262700","2023-12-28T07:29:39.511Z","2023-12-28T07:29:39.511Z"
161359282,"DAH","1703748566","b","2700","4470","262700","2023-12-28T07:29:39.511Z","2023-12-28T07:29:39.511Z"
161358692,"DAH","1703748562","s","400","4420","262700","2023-12-28T07:29:34.438Z","2023-12-28T07:29:34.438Z"
161345778,"DAH","1703748414","s","400","4420","260900","2023-12-28T07:27:07.504Z","2023-12-28T07:27:07.504Z"
161345777,"DAH","1703748414","s","1000","4430","260900","2023-12-28T07:27:07.504Z","2023-12-28T07:27:07.504Z"
161342558,"DAH","1703748357","s","2000","4420","258900","2023-12-28T07:26:09.427Z","2023-12-28T07:26:09.427Z"
161315541,"DAH","1703747864","b","900","4420","258000","2023-12-28T07:17:57.414Z","2023-12-28T07:17:57.414Z"
161314639,"DAH","1703747842","s","4100","4420","253900","2023-12-28T07:17:34.424Z","2023-12-28T07:17:34.424Z"
