"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
161362462,"SKG","1703749499","unknown","9600","14900","153200","2023-12-28T07:45:12.445Z","2023-12-28T07:45:12.445Z"
161349599,"SKG","1703748464","s","100","14850","143600","2023-12-28T07:27:57.434Z","2023-12-28T07:27:57.434Z"
161342776,"SKG","1703748361","s","200","14850","143500","2023-12-28T07:26:14.443Z","2023-12-28T07:26:14.443Z"
161342775,"SKG","1703748361","s","600","14850","143500","2023-12-28T07:26:14.443Z","2023-12-28T07:26:14.443Z"
161342774,"SKG","1703748361","s","200","14850","143500","2023-12-28T07:26:14.443Z","2023-12-28T07:26:14.443Z"
161319742,"SKG","1703747950","b","8000","14900","142500","2023-12-28T07:19:22.417Z","2023-12-28T07:19:22.417Z"
161314088,"SKG","1703747826","b","300","14900","134500","2023-12-28T07:17:18.420Z","2023-12-28T07:17:18.420Z"
161313440,"SKG","1703747809","s","200","14850","134200","2023-12-28T07:17:01.436Z","2023-12-28T07:17:01.436Z"
161298366,"SKG","1703747465","b","200","14850","134000","2023-12-28T07:11:18.419Z","2023-12-28T07:11:18.419Z"
161297958,"SKG","1703747455","b","500","14850","133800","2023-12-28T07:11:08.436Z","2023-12-28T07:11:08.436Z"
161293868,"SKG","1703747368","b","200","14850","133300","2023-12-28T07:09:40.431Z","2023-12-28T07:09:40.431Z"
161293024,"SKG","1703747352","s","1000","14850","133100","2023-12-28T07:09:24.457Z","2023-12-28T07:09:24.457Z"
161293023,"SKG","1703747352","s","100","14850","133100","2023-12-28T07:09:24.457Z","2023-12-28T07:09:24.457Z"
161293022,"SKG","1703747352","s","6700","14850","133100","2023-12-28T07:09:24.457Z","2023-12-28T07:09:24.457Z"
161292727,"SKG","1703747347","s","100","14850","125300","2023-12-28T07:09:19.435Z","2023-12-28T07:09:19.435Z"
161292726,"SKG","1703747347","s","200","14850","125300","2023-12-28T07:09:19.435Z","2023-12-28T07:09:19.435Z"
161292725,"SKG","1703747347","s","100","14850","125300","2023-12-28T07:09:19.435Z","2023-12-28T07:09:19.435Z"
