"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
161681515,"ICF","1703836793","b","1000","2500","320100","2023-12-29T07:59:55.119Z","2023-12-29T07:59:55.119Z"
161681466,"ICF","1703836776","s","1800","2400","319100","2023-12-29T07:59:38.120Z","2023-12-29T07:59:38.120Z"
161681183,"ICF","1703836552","b","100","2400","317300","2023-12-29T07:55:54.116Z","2023-12-29T07:55:54.116Z"
161681065,"ICF","1703836423","b","200","2400","317200","2023-12-29T07:53:45.115Z","2023-12-29T07:53:45.115Z"
161681004,"ICF","1703836352","b","1000","2400","317000","2023-12-29T07:52:34.114Z","2023-12-29T07:52:34.114Z"
161680982,"ICF","1703836335","b","600","2400","316000","2023-12-29T07:52:17.114Z","2023-12-29T07:52:17.114Z"
161680961,"ICF","1703836316","b","200","2400","315400","2023-12-29T07:51:58.118Z","2023-12-29T07:51:58.118Z"
161680940,"ICF","1703836297","b","400","2400","315200","2023-12-29T07:51:39.115Z","2023-12-29T07:51:39.115Z"
161680891,"ICF","1703836256","b","500","2400","314800","2023-12-29T07:50:58.115Z","2023-12-29T07:50:58.115Z"
161680852,"ICF","1703836223","s","200","2400","314300","2023-12-29T07:50:24.115Z","2023-12-29T07:50:24.115Z"
161680802,"ICF","1703836181","s","5000","2400","314100","2023-12-29T07:49:42.115Z","2023-12-29T07:49:42.115Z"
161680784,"ICF","1703836167","s","4900","2400","309100","2023-12-29T07:49:28.115Z","2023-12-29T07:49:28.115Z"
161680714,"ICF","1703836097","b","300","2400","304200","2023-12-29T07:48:19.114Z","2023-12-29T07:48:19.114Z"
161680686,"ICF","1703836075","b","100","2400","303900","2023-12-29T07:47:57.113Z","2023-12-29T07:47:57.113Z"
161680583,"ICF","1703835979","b","1000","2400","303800","2023-12-29T07:46:21.114Z","2023-12-29T07:46:21.114Z"
161680533,"ICF","1703835930","b","3700","2400","302800","2023-12-29T07:45:36.125Z","2023-12-29T07:45:36.125Z"
161679906,"ICF","1703835883","b","1300","2400","299100","2023-12-29T07:44:45.113Z","2023-12-29T07:44:45.113Z"
161679809,"ICF","1703835791","b","200","2400","297800","2023-12-29T07:43:12.113Z","2023-12-29T07:43:12.113Z"
161679787,"ICF","1703835766","b","100","2400","297600","2023-12-29T07:42:47.115Z","2023-12-29T07:42:47.115Z"
161679720,"ICF","1703835682","b","900","2400","297500","2023-12-29T07:41:24.110Z","2023-12-29T07:41:24.110Z"
161679640,"ICF","1703835564","b","200","2400","296600","2023-12-29T07:39:25.110Z","2023-12-29T07:39:25.110Z"
161679604,"ICF","1703835521","b","100","2400","296400","2023-12-29T07:38:42.109Z","2023-12-29T07:38:42.109Z"
161679595,"ICF","1703835511","b","3100","2400","296300","2023-12-29T07:38:32.110Z","2023-12-29T07:38:32.110Z"
161679590,"ICF","1703835509","b","100","2400","293200","2023-12-29T07:38:30.109Z","2023-12-29T07:38:30.109Z"
161679490,"ICF","1703835375","b","100","2400","293100","2023-12-29T07:36:17.107Z","2023-12-29T07:36:17.107Z"
161679461,"ICF","1703835346","b","3100","2400","293000","2023-12-29T07:35:48.121Z","2023-12-29T07:35:48.121Z"
161679453,"ICF","1703835339","b","300","2400","289900","2023-12-29T07:35:41.105Z","2023-12-29T07:35:41.105Z"
161679430,"ICF","1703835310","b","100","2400","289600","2023-12-29T07:35:11.107Z","2023-12-29T07:35:11.107Z"
161679422,"ICF","1703835299","b","100","2400","289500","2023-12-29T07:35:00.107Z","2023-12-29T07:35:00.107Z"
161679415,"ICF","1703835294","b","300","2400","289400","2023-12-29T07:34:55.109Z","2023-12-29T07:34:55.109Z"
161679386,"ICF","1703835258","b","500","2500","289100","2023-12-29T07:34:19.105Z","2023-12-29T07:34:19.105Z"
161679359,"ICF","1703835216","unknown","1000","2400","288600","2023-12-29T07:33:38.107Z","2023-12-29T07:33:38.107Z"
161679347,"ICF","1703835193","b","100","2400","287600","2023-12-29T07:33:15.106Z","2023-12-29T07:33:15.106Z"
161679270,"ICF","1703835117","s","4000","2300","287500","2023-12-29T07:31:58.105Z","2023-12-29T07:31:58.105Z"
161679173,"ICF","1703835027","b","4000","2400","283500","2023-12-29T07:30:29.101Z","2023-12-29T07:30:29.101Z"
