"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
161681396,"MGG","1703836751","b","2000","38800","43300","2023-12-29T07:59:13.120Z","2023-12-29T07:59:13.120Z"
161681374,"MGG","1703836737","b","3400","38700","41300","2023-12-29T07:58:59.119Z","2023-12-29T07:58:59.119Z"
161681372,"MGG","1703836736","b","1600","37500","37900","2023-12-29T07:58:58.122Z","2023-12-29T07:58:58.122Z"
161681250,"MGG","1703836634","s","3000","38000","36300","2023-12-29T07:57:15.117Z","2023-12-29T07:57:15.117Z"
161681238,"MGG","1703836621","s","5000","37900","33300","2023-12-29T07:57:02.120Z","2023-12-29T07:57:02.120Z"
161681223,"MGG","1703836602","s","5000","35200","28300","2023-12-29T07:56:43.117Z","2023-12-29T07:56:43.117Z"
161681203,"MGG","1703836580","s","10000","35000","23300","2023-12-29T07:56:21.118Z","2023-12-29T07:56:21.118Z"
161629539,"MGG","1703833672","s","500","31000","13300","2023-12-29T07:07:53.096Z","2023-12-29T07:07:53.096Z"
161609666,"MGG","1703833016","s","100","31000","12800","2023-12-29T06:56:57.101Z","2023-12-29T06:56:57.101Z"
161526802,"MGG","1703829609","s","300","31000","12700","2023-12-29T06:00:13.224Z","2023-12-29T06:00:13.224Z"
161502539,"MGG","1703822737","s","700","31000","12400","2023-12-29T04:05:38.913Z","2023-12-29T04:05:38.913Z"
161482767,"MGG","1703821810","s","800","31000","11700","2023-12-29T03:50:10.902Z","2023-12-29T03:50:10.902Z"
161449208,"MGG","1703820098","s","400","31000","10900","2023-12-29T03:21:38.873Z","2023-12-29T03:21:38.873Z"
161446074,"MGG","1703819912","s","200","31000","10500","2023-12-29T03:18:32.889Z","2023-12-29T03:18:32.889Z"
161444261,"MGG","1703819819","s","100","31000","10300","2023-12-29T03:17:00.871Z","2023-12-29T03:17:00.871Z"
161440105,"MGG","1703819612","s","500","31000","10200","2023-12-29T03:13:33.889Z","2023-12-29T03:13:33.889Z"
161410455,"MGG","1703818153","s","200","31000","9700","2023-12-29T02:49:14.944Z","2023-12-29T02:49:14.944Z"
161404987,"MGG","1703817891","s","500","31000","9500","2023-12-29T02:44:52.854Z","2023-12-29T02:44:52.854Z"
161363135,"MGG","1703815204","unknown","9000","38000","9000","2023-12-29T02:00:08.819Z","2023-12-29T02:00:08.819Z"
