"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"DBT",144425,"/Date(1702021500000)/",12150,100,8100,97000000,-50,false,-0.41
"DBT",140113,"/Date(1702018906000)/",11950,100,8000,96000000,-250,true,-2.05
"DBT",140113,"/Date(1702018906000)/",11950,500,7900,95000000,-250,true,-2.05
"DBT",135921,"/Date(1702018795000)/",12000,200,7400,89000000,-200,true,-1.64
"DBT",134843,"/Date(1702018155000)/",12000,1000,7200,86000000,-200,false,-1.64
"DBT",133751,"/Date(1702017503000)/",12000,2000,6200,74000000,-200,false,-1.64
"DBT",131356,"/Date(1702016065000)/",12100,200,4200,50000000,-100,false,-0.82
"DBT",125946,"/Date(1702015201000)/",12100,100,4000,48000000,-100,false,-0.82
"DBT",112831,"/Date(1702009731000)/",12100,100,3900,47000000,-100,true,-0.82
"DBT",112831,"/Date(1702009730000)/",12200,200,3800,46000000,0,false,0
"DBT",104352,"/Date(1702007047000)/",12100,1100,3600,43000000,-100,true,-0.82
"DBT",100422,"/Date(1702004675000)/",11950,1000,2500,30000000,-250,true,-2.05
"DBT",95531,"/Date(1702004141000)/",12200,500,1500,18000000,0,true,0
"DBT",95531,"/Date(1702004141000)/",12200,800,1000,12000000,0,true,0
"DBT",92214,"/Date(1702002143000)/",12200,200,200,2000000,0,false,0
