"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"HDM",143930,"/Date(1702021200000)/",30300,1000,31723,967780400,-600,true,-1.94
"HDM",143810,"/Date(1702021080000)/",30400,200,30723,937480400,-500,false,-1.62
"HDM",143555,"/Date(1702020960000)/",30400,400,30523,931400400,-500,false,-1.62
"HDM",143007,"/Date(1702020600000)/",30400,400,30123,919240400,-500,false,-1.62
"HDM",142511,"/Date(1702020300000)/",30200,1000,29723,907080400,-700,true,-2.27
"HDM",141136,"/Date(1702019520000)/",30400,1000,28723,876810400,-500,false,-1.62
"HDM",135749,"/Date(1702018680000)/",30400,500,27723,846410400,-500,false,-1.62
"HDM",135425,"/Date(1702018440000)/",30500,900,27223,831210400,-400,false,-1.29
"HDM",135145,"/Date(1702018320000)/",30400,5,26323,803760400,-500,true,-1.62
"HDM",133526,"/Date(1702017300000)/",30400,500,26318,803608400,-500,true,-1.62
"HDM",133524,"/Date(1702017300000)/",30400,100,25818,788408400,-500,true,-1.62
"HDM",133242,"/Date(1702017180000)/",30400,1000,25718,785368400,-500,true,-1.62
"HDM",111410,"/Date(1702008840000)/",30500,200,24718,754968400,-400,false,-1.29
"HDM",111110,"/Date(1702008660000)/",30400,2900,24518,748868400,-500,false,-1.62
"HDM",110837,"/Date(1702008540000)/",30500,400,21618,660708400,-400,false,-1.29
"HDM",110111,"/Date(1702008060000)/",30500,200,21218,648508400,-400,false,-1.29
"HDM",104807,"/Date(1702007280000)/",30500,100,21018,642408400,-400,false,-1.29
"HDM",104552,"/Date(1702007160000)/",30500,100,20918,639358400,-400,false,-1.29
"HDM",104523,"/Date(1702007100000)/",30500,1000,20818,636308400,-400,false,-1.29
"HDM",104505,"/Date(1702007100000)/",30500,200,19818,605808400,-400,false,-1.29
"HDM",104301,"/Date(1702006980000)/",30500,1000,19618,599708400,-400,false,-1.29
"HDM",103923,"/Date(1702006740000)/",30500,2000,18618,569208400,-400,false,-1.29
"HDM",103600,"/Date(1702006560000)/",30400,200,16618,508208400,-500,true,-1.62
"HDM",103118,"/Date(1702006260000)/",30500,10200,16418,502128400,-400,true,-1.29
"HDM",103111,"/Date(1702006260000)/",30600,2000,6218,191018400,-300,true,-0.97
"HDM",102346,"/Date(1702005840000)/",30700,400,4218,129818400,-200,false,-0.65
"HDM",102309,"/Date(1702005780000)/",30700,200,3818,117538400,-200,true,-0.65
"HDM",95834,"/Date(1702004340000)/",30800,20,3618,111398400,-100,false,-0.32
"HDM",95355,"/Date(1702004040000)/",30800,3,3598,110798400,-100,false,-0.32
"HDM",95213,"/Date(1702003920000)/",30800,27,3595,110706000,-100,false,-0.32
"HDM",94956,"/Date(1702003800000)/",30800,20,3568,109874400,-100,false,-0.32
"HDM",93629,"/Date(1702003020000)/",30800,2000,3548,109264400,-100,true,-0.32
"HDM",93056,"/Date(1702002660000)/",30800,1000,1548,47664400,-100,true,-0.32
"HDM",93023,"/Date(1702002600000)/",30800,100,548,16864400,-100,true,-0.32
"HDM",92717,"/Date(1702002420000)/",30800,34,448,13784400,-100,true,-0.32
"HDM",92609,"/Date(1702002360000)/",30800,13,414,12747400,-100,true,-0.32
"HDM",92408,"/Date(1702002240000)/",30800,200,401,12350900,-100,false,-0.32
"HDM",92303,"/Date(1702002180000)/",30800,100,201,6190900,-100,false,-0.32
"HDM",92031,"/Date(1702002060000)/",30800,1,101,3110900,-100,false,-0.32
"HDM",91020,"/Date(1702001400000)/",30800,100,100,3080000,-100,false,-0.32
