"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"JVC",144425,"/Date(1702021500000)/",3390,2700,451100,1540000000,0,true,0
"JVC",142917,"/Date(1702020592000)/",3400,100,448400,1531000000,10,false,0.29
"JVC",142845,"/Date(1702020562000)/",3390,500,448300,1531000000,0,true,0
"JVC",142829,"/Date(1702020545000)/",3390,6300,447800,1529000000,0,true,0
"JVC",142826,"/Date(1702020540000)/",3390,1000,441500,1508000000,0,false,0
"JVC",142813,"/Date(1702020528000)/",3390,200,440500,1504000000,0,false,0
"JVC",142754,"/Date(1702020509000)/",3390,2000,440300,1504000000,0,false,0
"JVC",142725,"/Date(1702020482000)/",3390,200,438300,1497000000,0,false,0
"JVC",142706,"/Date(1702020462000)/",3390,100,438100,1496000000,0,false,0
"JVC",142706,"/Date(1702020462000)/",3390,200,438000,1496000000,0,false,0
"JVC",142634,"/Date(1702020430000)/",3380,2300,437800,1495000000,-10,false,-0.29
"JVC",142630,"/Date(1702020427000)/",3380,100,435500,1487000000,-10,false,-0.29
"JVC",142552,"/Date(1702020389000)/",3380,100,435400,1487000000,-10,true,-0.29
"JVC",142552,"/Date(1702020389000)/",3380,5000,435300,1487000000,-10,true,-0.29
"JVC",142552,"/Date(1702020389000)/",3380,2500,430300,1470000000,-10,true,-0.29
"JVC",142520,"/Date(1702020354000)/",3380,500,427800,1461000000,-10,true,-0.29
"JVC",142501,"/Date(1702020335000)/",3390,2500,427300,1460000000,0,false,0
"JVC",142501,"/Date(1702020335000)/",3390,2500,424800,1451000000,0,false,0
"JVC",142432,"/Date(1702020307000)/",3390,400,422300,1443000000,0,true,0
"JVC",142432,"/Date(1702020307000)/",3390,100,421900,1441000000,0,true,0
"JVC",142409,"/Date(1702020283000)/",3390,500,421800,1441000000,0,true,0
"JVC",142409,"/Date(1702020283000)/",3390,200,421300,1439000000,0,true,0
"JVC",142409,"/Date(1702020283000)/",3390,9300,421100,1439000000,0,true,0
"JVC",142227,"/Date(1702020183000)/",3390,2000,411800,1407000000,0,true,0
"JVC",142015,"/Date(1702020050000)/",3390,8700,409800,1400000000,0,true,0
"JVC",141855,"/Date(1702019970000)/",3400,200,401100,1371000000,10,true,0.29
"JVC",141855,"/Date(1702019970000)/",3400,500,400900,1370000000,10,true,0.29
"JVC",141855,"/Date(1702019970000)/",3400,600,400400,1368000000,10,true,0.29
"JVC",141839,"/Date(1702019955000)/",3400,300,399800,1366000000,10,true,0.29
"JVC",141502,"/Date(1702019736000)/",3400,100,399500,1365000000,10,true,0.29
"JVC",141423,"/Date(1702019699000)/",3400,5000,399400,1365000000,10,false,0.29
"JVC",141404,"/Date(1702019679000)/",3400,1000,394400,1348000000,10,false,0.29
"JVC",141254,"/Date(1702019609000)/",3400,1500,393400,1345000000,10,true,0.29
"JVC",141254,"/Date(1702019609000)/",3400,100,391900,1339000000,10,true,0.29
"JVC",141254,"/Date(1702019609000)/",3400,2000,391800,1339000000,10,true,0.29
"JVC",141254,"/Date(1702019609000)/",3400,100,389800,1332000000,10,true,0.29
"JVC",141254,"/Date(1702019609000)/",3400,200,389700,1332000000,10,true,0.29
"JVC",141013,"/Date(1702019449000)/",3400,400,389500,1331000000,10,false,0.29
"JVC",140958,"/Date(1702019432000)/",3400,600,389100,1330000000,10,true,0.29
"JVC",140951,"/Date(1702019426000)/",3400,300,388500,1328000000,10,false,0.29
"JVC",140951,"/Date(1702019426000)/",3400,100,388200,1327000000,10,false,0.29
"JVC",140951,"/Date(1702019425000)/",3400,1200,388100,1327000000,10,false,0.29
"JVC",140857,"/Date(1702019370000)/",3400,1800,386900,1322000000,10,true,0.29
"JVC",140857,"/Date(1702019370000)/",3400,100,385100,1316000000,10,true,0.29
"JVC",140857,"/Date(1702019370000)/",3400,1300,385000,1316000000,10,true,0.29
"JVC",140756,"/Date(1702019309000)/",3400,700,383700,1312000000,10,true,0.29
"JVC",140756,"/Date(1702019309000)/",3400,400,383000,1309000000,10,true,0.29
"JVC",140756,"/Date(1702019309000)/",3400,400,382600,1308000000,10,true,0.29
"JVC",140740,"/Date(1702019293000)/",3400,1600,382200,1306000000,10,true,0.29
"JVC",140740,"/Date(1702019293000)/",3400,4700,380600,1301000000,10,true,0.29
"JVC",140740,"/Date(1702019293000)/",3400,2000,375900,1285000000,10,true,0.29
"JVC",140740,"/Date(1702019293000)/",3400,1000,373900,1278000000,10,true,0.29
"JVC",140740,"/Date(1702019293000)/",3400,200,372900,1275000000,10,true,0.29
"JVC",140740,"/Date(1702019293000)/",3400,100,372700,1274000000,10,true,0.29
"JVC",140740,"/Date(1702019293000)/",3400,13400,372600,1274000000,10,true,0.29
"JVC",140655,"/Date(1702019248000)/",3400,6600,359200,1228000000,10,true,0.29
"JVC",140655,"/Date(1702019248000)/",3400,17900,352600,1206000000,10,true,0.29
"JVC",140655,"/Date(1702019248000)/",3410,100,334700,1145000000,20,true,0.59
"JVC",140655,"/Date(1702019248000)/",3410,100,334600,1145000000,20,true,0.59
"JVC",140655,"/Date(1702019248000)/",3410,15000,334500,1144000000,20,true,0.59
"JVC",140655,"/Date(1702019248000)/",3410,100,319500,1093000000,20,true,0.59
"JVC",140655,"/Date(1702019248000)/",3410,3200,319400,1093000000,20,true,0.59
"JVC",140655,"/Date(1702019248000)/",3410,1000,316200,1082000000,20,true,0.59
"JVC",140655,"/Date(1702019248000)/",3410,1000,315200,1078000000,20,true,0.59
"JVC",140655,"/Date(1702019248000)/",3410,500,314200,1075000000,20,true,0.59
"JVC",140655,"/Date(1702019248000)/",3410,200,313700,1073000000,20,true,0.59
"JVC",140655,"/Date(1702019248000)/",3410,500,313500,1073000000,20,true,0.59
"JVC",140655,"/Date(1702019248000)/",3410,100,313000,1071000000,20,true,0.59
"JVC",140655,"/Date(1702019248000)/",3410,600,312900,1071000000,20,true,0.59
"JVC",140655,"/Date(1702019248000)/",3410,1300,312300,1069000000,20,true,0.59
"JVC",140655,"/Date(1702019248000)/",3420,1800,311000,1064000000,30,true,0.88
"JVC",140646,"/Date(1702019239000)/",3420,100,309200,1058000000,30,true,0.88
"JVC",140633,"/Date(1702019227000)/",3420,3000,309100,1058000000,30,true,0.88
"JVC",140623,"/Date(1702019217000)/",3420,100,306100,1047000000,30,true,0.88
"JVC",140623,"/Date(1702019217000)/",3420,300,306000,1047000000,30,true,0.88
"JVC",140601,"/Date(1702019195000)/",3420,4000,305700,1046000000,30,true,0.88
"JVC",140415,"/Date(1702019090000)/",3450,3600,301700,1032000000,60,false,1.77
