"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"NBB",144431,"/Date(1702021501000)/",21400,20100,54000,1151000000,-50,false,-0.23
"NBB",142826,"/Date(1702020543000)/",21200,100,33900,721000000,-250,false,-1.17
"NBB",142751,"/Date(1702020506000)/",21200,100,33800,719000000,-250,false,-1.17
"NBB",142643,"/Date(1702020438000)/",21150,100,33700,717000000,-300,true,-1.4
"NBB",142457,"/Date(1702020333000)/",21150,600,33600,715000000,-300,true,-1.4
"NBB",142457,"/Date(1702020333000)/",21150,300,33000,702000000,-300,true,-1.4
"NBB",142457,"/Date(1702020333000)/",21150,100,32700,695000000,-300,true,-1.4
"NBB",142457,"/Date(1702020333000)/",21150,100,32600,693000000,-300,true,-1.4
"NBB",142457,"/Date(1702020333000)/",21150,100,32500,691000000,-300,true,-1.4
"NBB",140919,"/Date(1702019393000)/",21150,100,32400,689000000,-300,true,-1.4
"NBB",140214,"/Date(1702018966000)/",21150,200,32300,687000000,-300,true,-1.4
"NBB",135536,"/Date(1702018569000)/",21150,1600,32100,683000000,-300,true,-1.4
"NBB",135536,"/Date(1702018569000)/",21150,500,30500,649000000,-300,true,-1.4
"NBB",135536,"/Date(1702018569000)/",21150,1000,30000,638000000,-300,true,-1.4
"NBB",135536,"/Date(1702018569000)/",21150,200,29000,617000000,-300,true,-1.4
"NBB",135536,"/Date(1702018569000)/",21200,300,28800,613000000,-250,true,-1.17
"NBB",134802,"/Date(1702018112000)/",21400,200,28500,607000000,-50,false,-0.23
"NBB",134655,"/Date(1702018048000)/",21400,300,28300,602000000,-50,false,-0.23
"NBB",125955,"/Date(1702015206000)/",21150,800,28000,596000000,-300,true,-1.4
"NBB",125955,"/Date(1702015206000)/",21150,400,27200,579000000,-300,true,-1.4
"NBB",125955,"/Date(1702015206000)/",21200,100,26800,571000000,-250,true,-1.17
"NBB",125955,"/Date(1702015206000)/",21200,200,26700,568000000,-250,true,-1.17
"NBB",112704,"/Date(1702009643000)/",21400,100,26500,564000000,-50,false,-0.23
"NBB",112450,"/Date(1702009508000)/",21400,900,26400,562000000,-50,true,-0.23
"NBB",111821,"/Date(1702009120000)/",21400,900,25500,543000000,-50,true,-0.23
"NBB",111023,"/Date(1702008642000)/",21450,100,24600,524000000,0,false,0
"NBB",105721,"/Date(1702007856000)/",21500,500,24500,521000000,50,false,0.23
"NBB",105721,"/Date(1702007856000)/",21500,100,24000,511000000,50,false,0.23
"NBB",105721,"/Date(1702007856000)/",21500,100,23900,508000000,50,false,0.23
"NBB",105721,"/Date(1702007856000)/",21500,800,23800,506000000,50,false,0.23
"NBB",105721,"/Date(1702007856000)/",21500,500,23000,489000000,50,false,0.23
"NBB",105419,"/Date(1702007677000)/",21400,3000,22500,478000000,-50,false,-0.23
"NBB",105419,"/Date(1702007677000)/",21400,5400,19500,414000000,-50,false,-0.23
"NBB",105419,"/Date(1702007677000)/",21400,1500,14100,299000000,-50,false,-0.23
"NBB",103934,"/Date(1702006789000)/",21300,1000,12600,267000000,-150,false,-0.7
"NBB",103205,"/Date(1702006338000)/",21200,5000,11600,245000000,-250,true,-1.17
"NBB",101251,"/Date(1702005183000)/",21150,100,6600,139000000,-300,false,-1.4
"NBB",95625,"/Date(1702004197000)/",21150,100,6500,137000000,-300,false,-1.4
"NBB",94301,"/Date(1702003390000)/",21000,700,6400,135000000,-450,true,-2.1
"NBB",94301,"/Date(1702003390000)/",21000,1000,5700,120000000,-450,true,-2.1
"NBB",94301,"/Date(1702003390000)/",21100,1000,4700,99000000,-350,true,-1.63
"NBB",94301,"/Date(1702003390000)/",21100,1000,3700,78000000,-350,true,-1.63
"NBB",94301,"/Date(1702003390000)/",21150,400,2700,57000000,-300,true,-1.4
"NBB",94301,"/Date(1702003390000)/",21150,900,2300,49000000,-300,true,-1.4
"NBB",91539,"/Date(1702001746000)/",21500,900,1400,30000000,50,false,0.23
"NBB",91539,"/Date(1702001746000)/",21500,100,500,10000000,50,false,0.23
"NBB",91457,"/Date(1702001700000)/",21500,400,400,8000000,50,false,0.23
