"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"CIA",142130,"/Date(1702365690000)/",10000,200,8916,88181100,0,false,0
"CIA",135926,"/Date(1702364366000)/",10000,1000,8716,86181100,0,false,0
"CIA",111525,"/Date(1702354525000)/",9800,11,7716,76181100,-200,true,-2
"CIA",110126,"/Date(1702353685000)/",9800,5,7705,76070000,-200,false,-2
"CIA",110036,"/Date(1702353635000)/",9800,200,7700,76020000,-200,false,-2
"CIA",105936,"/Date(1702353575000)/",9800,2900,7500,74060000,-200,true,-2
"CIA",102223,"/Date(1702351343000)/",10000,1000,4600,45640000,0,false,0
"CIA",101833,"/Date(1702351113000)/",9900,100,3600,35640000,-100,false,-1
"CIA",101049,"/Date(1702350649000)/",9900,3400,3500,34650000,-100,false,-1
"CIA",93538,"/Date(1702348538000)/",9900,100,100,990000,-100,true,-1
