"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"DCL",135222,"/Date(1702363981000)/",22700,1000,99800,2258000000,0,false,0
"DCL",135053,"/Date(1702363890000)/",22700,100,98800,2235000000,0,false,0
"DCL",135053,"/Date(1702363890000)/",22650,300,98700,2233000000,-50,false,-0.22
"DCL",135043,"/Date(1702363881000)/",22650,1400,98400,2226000000,-50,false,-0.22
"DCL",135031,"/Date(1702363868000)/",22650,3400,97000,2195000000,-50,false,-0.22
"DCL",135024,"/Date(1702363861000)/",22650,1900,93600,2118000000,-50,false,-0.22
"DCL",135024,"/Date(1702363861000)/",22650,1000,91700,2075000000,-50,false,-0.22
"DCL",135024,"/Date(1702363861000)/",22650,100,90700,2052000000,-50,false,-0.22
"DCL",135002,"/Date(1702363841000)/",22650,3000,90600,2050000000,-50,false,-0.22
"DCL",134959,"/Date(1702363835000)/",22650,2000,87600,1982000000,-50,false,-0.22
"DCL",134952,"/Date(1702363830000)/",22650,400,85600,1936000000,-50,false,-0.22
"DCL",134952,"/Date(1702363830000)/",22650,200,85200,1927000000,-50,false,-0.22
"DCL",134952,"/Date(1702363830000)/",22600,2900,85000,1923000000,-100,false,-0.44
"DCL",134946,"/Date(1702363824000)/",22600,3000,82100,1857000000,-100,false,-0.44
"DCL",125937,"/Date(1702360800000)/",22650,1000,79100,1790000000,-50,false,-0.22
"DCL",111227,"/Date(1702354371000)/",22650,2000,78100,1767000000,-50,false,-0.22
"DCL",111221,"/Date(1702354364000)/",22650,3000,76100,1722000000,-50,false,-0.22
"DCL",111221,"/Date(1702354364000)/",22650,500,73100,1654000000,-50,false,-0.22
"DCL",111221,"/Date(1702354364000)/",22600,500,72600,1642000000,-100,false,-0.44
"DCL",111215,"/Date(1702354358000)/",22600,4000,72100,1631000000,-100,false,-0.44
"DCL",111149,"/Date(1702354334000)/",22650,2000,68100,1541000000,-50,false,-0.22
"DCL",111139,"/Date(1702354322000)/",22650,1500,66100,1495000000,-50,false,-0.22
"DCL",111139,"/Date(1702354322000)/",22600,500,64600,1461000000,-100,false,-0.44
"DCL",111133,"/Date(1702354315000)/",22600,3400,64100,1450000000,-100,false,-0.44
"DCL",111049,"/Date(1702354272000)/",22650,2000,60700,1373000000,-50,false,-0.22
"DCL",111042,"/Date(1702354265000)/",22650,2000,58700,1328000000,-50,false,-0.22
"DCL",111036,"/Date(1702354259000)/",22650,900,56700,1283000000,-50,false,-0.22
"DCL",111036,"/Date(1702354259000)/",22600,2100,55800,1262000000,-100,false,-0.44
"DCL",111033,"/Date(1702354255000)/",22600,2200,53700,1215000000,-100,false,-0.44
"DCL",111007,"/Date(1702354230000)/",22650,4000,51500,1165000000,-50,false,-0.22
"DCL",110957,"/Date(1702354221000)/",22650,2000,47500,1074000000,-50,false,-0.22
"DCL",110951,"/Date(1702354215000)/",22650,500,45500,1029000000,-50,false,-0.22
"DCL",110951,"/Date(1702354215000)/",22600,3000,45000,1018000000,-100,false,-0.44
"DCL",100951,"/Date(1702350608000)/",22700,100,42000,950000000,0,false,0
"DCL",100951,"/Date(1702350608000)/",22700,700,41900,948000000,0,false,0
"DCL",95013,"/Date(1702349428000)/",22700,300,41200,932000000,0,false,0
"DCL",95013,"/Date(1702349428000)/",22650,1000,40900,925000000,-50,false,-0.22
"DCL",95013,"/Date(1702349428000)/",22650,1700,39900,902000000,-50,false,-0.22
"DCL",95004,"/Date(1702349420000)/",22650,2100,38200,864000000,-50,false,-0.22
"DCL",94957,"/Date(1702349413000)/",22650,1700,36100,816000000,-50,false,-0.22
"DCL",94957,"/Date(1702349413000)/",22600,1200,34400,778000000,-100,false,-0.44
"DCL",94951,"/Date(1702349407000)/",22600,3000,33200,751000000,-100,false,-0.44
"DCL",94945,"/Date(1702349402000)/",22600,2000,30200,683000000,-100,false,-0.44
"DCL",93235,"/Date(1702348368000)/",22700,200,28200,638000000,0,false,0
"DCL",93225,"/Date(1702348359000)/",22650,3000,28000,633000000,-50,false,-0.22
"DCL",93216,"/Date(1702348351000)/",22650,2900,25000,565000000,-50,false,-0.22
"DCL",93216,"/Date(1702348351000)/",22600,100,22100,500000000,-100,false,-0.44
"DCL",93209,"/Date(1702348345000)/",22600,3000,22000,497000000,-100,false,-0.44
"DCL",93203,"/Date(1702348338000)/",22600,700,19000,429000000,-100,false,-0.44
"DCL",93203,"/Date(1702348338000)/",22550,3300,18300,414000000,-150,false,-0.66
"DCL",93157,"/Date(1702348331000)/",22550,2400,15000,339000000,-150,false,-0.66
"DCL",93144,"/Date(1702348319000)/",22550,200,12600,285000000,-150,false,-0.66
"DCL",93144,"/Date(1702348319000)/",22550,100,12400,281000000,-150,false,-0.66
"DCL",93135,"/Date(1702348310000)/",22600,1000,12300,278000000,-100,true,-0.44
"DCL",93135,"/Date(1702348309000)/",22600,200,11300,256000000,-100,true,-0.44
"DCL",92414,"/Date(1702347867000)/",22600,100,11100,251000000,-100,true,-0.44
"DCL",91823,"/Date(1702347516000)/",22700,4000,11000,249000000,0,false,0
"DCL",91816,"/Date(1702347509000)/",22700,2000,7000,158000000,0,false,0
"DCL",91816,"/Date(1702347509000)/",22700,100,5000,113000000,0,false,0
"DCL",91816,"/Date(1702347509000)/",22650,900,4900,110000000,-50,false,-0.22
"DCL",91807,"/Date(1702347500000)/",22650,4000,4000,90000000,-50,false,-0.22
