"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"TVB",144432,"/Date(1702539901000)/",5130,1500,126100,646000000,0,false,0
"TVB",142918,"/Date(1702538995000)/",5110,7100,124600,638000000,-20,true,-0.39
"TVB",142918,"/Date(1702538995000)/",5110,9900,117500,602000000,-20,true,-0.39
"TVB",142918,"/Date(1702538995000)/",5110,3000,107600,551000000,-20,true,-0.39
"TVB",142642,"/Date(1702538838000)/",5120,1300,104600,536000000,-10,false,-0.19
"TVB",142440,"/Date(1702538716000)/",5110,2000,103300,529000000,-20,true,-0.39
"TVB",142421,"/Date(1702538697000)/",5110,1000,101300,519000000,-20,true,-0.39
"TVB",142251,"/Date(1702538606000)/",5110,1000,100300,514000000,-20,true,-0.39
"TVB",142043,"/Date(1702538479000)/",5110,8000,99300,509000000,-20,true,-0.39
"TVB",142043,"/Date(1702538479000)/",5110,3000,91300,468000000,-20,true,-0.39
"TVB",142043,"/Date(1702538479000)/",5110,100,88300,452000000,-20,true,-0.39
"TVB",142043,"/Date(1702538479000)/",5110,2900,88200,452000000,-20,true,-0.39
"TVB",141757,"/Date(1702538310000)/",5120,100,85300,437000000,-10,true,-0.19
"TVB",141517,"/Date(1702538152000)/",5120,1900,85200,437000000,-10,true,-0.19
"TVB",141517,"/Date(1702538152000)/",5120,2500,83300,427000000,-10,true,-0.19
"TVB",140928,"/Date(1702537801000)/",5120,2000,80800,414000000,-10,false,-0.19
"TVB",140928,"/Date(1702537801000)/",5120,500,78800,404000000,-10,false,-0.19
"TVB",140922,"/Date(1702537796000)/",5120,2000,78300,401000000,-10,false,-0.19
"TVB",140909,"/Date(1702537784000)/",5120,200,76300,391000000,-10,false,-0.19
"TVB",140843,"/Date(1702537758000)/",5120,2000,76100,390000000,-10,false,-0.19
"TVB",140818,"/Date(1702537732000)/",5120,300,74100,380000000,-10,false,-0.19
"TVB",140818,"/Date(1702537732000)/",5120,400,73800,378000000,-10,false,-0.19
"TVB",140616,"/Date(1702537609000)/",5120,800,73400,376000000,-10,false,-0.19
"TVB",140142,"/Date(1702537335000)/",5120,1000,72600,372000000,-10,false,-0.19
"TVB",140031,"/Date(1702537264000)/",5110,7100,71600,367000000,-20,true,-0.39
"TVB",140031,"/Date(1702537264000)/",5110,2900,64500,331000000,-20,true,-0.39
"TVB",135911,"/Date(1702537183000)/",5120,1000,61600,316000000,-10,false,-0.19
"TVB",135911,"/Date(1702537183000)/",5120,3000,60600,311000000,-10,false,-0.19
"TVB",135911,"/Date(1702537183000)/",5120,100,57600,295000000,-10,false,-0.19
"TVB",135911,"/Date(1702537183000)/",5120,100,57500,295000000,-10,false,-0.19
"TVB",135911,"/Date(1702537183000)/",5120,3600,57400,294000000,-10,false,-0.19
