"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"SED",100212,"/Date(1702609332000)/",18800,1000,12600,238560000,-200,true,-1.05
"SED",95241,"/Date(1702608761000)/",19000,1600,11600,219760000,0,false,0
"SED",93640,"/Date(1702607800000)/",18800,4300,10000,189360000,-200,true,-1.05
"SED",93543,"/Date(1702607743000)/",19000,2000,5700,108300000,0,false,0
"SED",93103,"/Date(1702607463000)/",19000,500,3700,70300000,0,false,0
"SED",92358,"/Date(1702607038000)/",19000,2200,3200,60800000,0,true,0
"SED",91900,"/Date(1702606741000)/",19000,500,1000,19000000,0,false,0
"SED",90550,"/Date(1702605950000)/",19000,300,500,9500000,0,true,0
"SED",90425,"/Date(1702605865000)/",19000,100,200,3800000,0,true,0
"SED",90424,"/Date(1702605864000)/",19000,100,100,1900000,0,true,0
