"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"SSB",144457,"/Date(1702626301000)/",22600,77100,1231700,27714000000,0,false,0
"SSB",142935,"/Date(1702625399000)/",22600,300,1154600,25972000000,0,false,0
"SSB",142919,"/Date(1702625381000)/",22550,2000,1154300,25965000000,-50,true,-0.22
"SSB",142906,"/Date(1702625369000)/",22600,200,1152300,25920000000,0,false,0
"SSB",142906,"/Date(1702625369000)/",22600,100,1152100,25916000000,0,false,0
"SSB",142853,"/Date(1702625354000)/",22550,500,1152000,25913000000,-50,false,-0.22
"SSB",142853,"/Date(1702625354000)/",22550,500,1151500,25902000000,-50,false,-0.22
"SSB",142853,"/Date(1702625354000)/",22550,1000,1151000,25891000000,-50,false,-0.22
"SSB",142853,"/Date(1702625354000)/",22550,100,1150000,25868000000,-50,false,-0.22
"SSB",142853,"/Date(1702625354000)/",22550,500,1149900,25866000000,-50,false,-0.22
"SSB",142853,"/Date(1702625354000)/",22550,400,1149400,25855000000,-50,false,-0.22
"SSB",142815,"/Date(1702625318000)/",22400,1100,1149000,25846000000,-200,true,-0.88
"SSB",142809,"/Date(1702625311000)/",22400,1100,1147900,25821000000,-200,true,-0.88
"SSB",142806,"/Date(1702625309000)/",22400,1100,1146800,25796000000,-200,true,-0.88
"SSB",142802,"/Date(1702625303000)/",22400,3500,1145700,25772000000,-200,true,-0.88
"SSB",142802,"/Date(1702625303000)/",22450,1400,1142200,25693000000,-150,false,-0.66
"SSB",142802,"/Date(1702625303000)/",22450,200,1140800,25662000000,-150,false,-0.66
"SSB",142802,"/Date(1702625303000)/",22450,600,1140600,25657000000,-150,false,-0.66
"SSB",142756,"/Date(1702625297000)/",22550,3000,1140000,25644000000,-50,false,-0.22
"SSB",142753,"/Date(1702625294000)/",22450,3400,1137000,25576000000,-150,true,-0.66
"SSB",142753,"/Date(1702625294000)/",22500,1300,1133600,25500000000,-100,true,-0.44
"SSB",142737,"/Date(1702625278000)/",22550,3000,1132300,25471000000,-50,false,-0.22
"SSB",142626,"/Date(1702625208000)/",22550,300,1129300,25403000000,-50,false,-0.22
"SSB",142620,"/Date(1702625202000)/",22550,200,1129000,25396000000,-50,false,-0.22
"SSB",142558,"/Date(1702625180000)/",22550,2000,1128800,25392000000,-50,false,-0.22
"SSB",142519,"/Date(1702625142000)/",22400,900,1126800,25347000000,-200,true,-0.88
"SSB",142519,"/Date(1702625142000)/",22500,200,1125900,25327000000,-100,false,-0.44
"SSB",142513,"/Date(1702625135000)/",22550,2100,1125700,25322000000,-50,false,-0.22
"SSB",142513,"/Date(1702625135000)/",22550,100,1123600,25275000000,-50,false,-0.22
"SSB",142513,"/Date(1702625135000)/",22550,1800,1123500,25272000000,-50,false,-0.22
"SSB",142513,"/Date(1702625135000)/",22500,1100,1121700,25232000000,-100,true,-0.44
"SSB",142457,"/Date(1702625119000)/",22400,300,1120600,25207000000,-200,true,-0.88
"SSB",142457,"/Date(1702625119000)/",22400,1200,1120300,25200000000,-200,true,-0.88
"SSB",142457,"/Date(1702625119000)/",22450,200,1119100,25174000000,-150,false,-0.66
"SSB",142457,"/Date(1702625119000)/",22450,3900,1118900,25169000000,-150,false,-0.66
"SSB",142451,"/Date(1702625111000)/",22550,1100,1115000,25081000000,-50,false,-0.22
"SSB",142448,"/Date(1702625110000)/",22450,4100,1113900,25057000000,-150,true,-0.66
"SSB",142441,"/Date(1702625102000)/",22450,3300,1109800,24965000000,-150,true,-0.66
"SSB",142428,"/Date(1702625091000)/",22450,2600,1106500,24891000000,-150,true,-0.66
"SSB",142428,"/Date(1702625091000)/",22500,2200,1103900,24832000000,-100,false,-0.44
"SSB",142409,"/Date(1702625070000)/",22550,2100,1101700,24783000000,-50,false,-0.22
"SSB",142409,"/Date(1702625070000)/",22550,500,1099600,24735000000,-50,false,-0.22
"SSB",142409,"/Date(1702625070000)/",22550,1400,1099100,24724000000,-50,false,-0.22
"SSB",142325,"/Date(1702625026000)/",22550,3000,1097700,24692000000,-50,false,-0.22
"SSB",142256,"/Date(1702624998000)/",22500,1000,1094700,24625000000,-100,true,-0.44
"SSB",142227,"/Date(1702624967000)/",22550,600,1093700,24602000000,-50,false,-0.22
"SSB",142227,"/Date(1702624967000)/",22550,400,1093100,24589000000,-50,false,-0.22
"SSB",142227,"/Date(1702624967000)/",22550,200,1092700,24580000000,-50,false,-0.22
"SSB",142227,"/Date(1702624967000)/",22550,500,1092500,24575000000,-50,false,-0.22
"SSB",142227,"/Date(1702624967000)/",22550,200,1092000,24564000000,-50,false,-0.22
"SSB",142227,"/Date(1702624967000)/",22550,100,1091800,24559000000,-50,false,-0.22
"SSB",142227,"/Date(1702624967000)/",22550,1000,1091700,24557000000,-50,false,-0.22
"SSB",142227,"/Date(1702624967000)/",22550,700,1090700,24535000000,-50,false,-0.22
"SSB",142129,"/Date(1702624911000)/",22550,300,1090000,24519000000,-50,false,-0.22
"SSB",142129,"/Date(1702624911000)/",22550,1700,1089700,24512000000,-50,false,-0.22
"SSB",142101,"/Date(1702624882000)/",22500,100,1088000,24474000000,-100,true,-0.44
"SSB",142019,"/Date(1702624840000)/",22550,100,1087900,24472000000,-50,false,-0.22
"SSB",142019,"/Date(1702624840000)/",22550,200,1087800,24469000000,-50,false,-0.22
"SSB",142019,"/Date(1702624840000)/",22550,400,1087600,24465000000,-50,false,-0.22
"SSB",142019,"/Date(1702624840000)/",22550,700,1087200,24456000000,-50,false,-0.22
"SSB",142019,"/Date(1702624840000)/",22550,3600,1086500,24440000000,-50,false,-0.22
"SSB",141444,"/Date(1702624506000)/",22550,2000,1082900,24359000000,-50,false,-0.22
"SSB",141435,"/Date(1702624497000)/",22500,7000,1080900,24314000000,-100,true,-0.44
"SSB",141428,"/Date(1702624489000)/",22500,8000,1073900,24156000000,-100,true,-0.44
"SSB",141419,"/Date(1702624479000)/",22500,1700,1065900,23976000000,-100,true,-0.44
"SSB",141419,"/Date(1702624479000)/",22500,1300,1064200,23938000000,-100,true,-0.44
"SSB",141230,"/Date(1702624372000)/",22500,1000,1062900,23909000000,-100,true,-0.44
"SSB",141205,"/Date(1702624347000)/",22550,200,1061900,23886000000,-50,false,-0.22
"SSB",140759,"/Date(1702624100000)/",22550,1300,1061700,23882000000,-50,false,-0.22
"SSB",140753,"/Date(1702624094000)/",22450,6100,1060400,23852000000,-150,true,-0.66
"SSB",140753,"/Date(1702624094000)/",22450,3800,1054300,23715000000,-150,true,-0.66
"SSB",140753,"/Date(1702624094000)/",22450,1800,1050500,23630000000,-150,true,-0.66
"SSB",140753,"/Date(1702624094000)/",22450,400,1048700,23590000000,-150,true,-0.66
"SSB",140753,"/Date(1702624094000)/",22450,1000,1048300,23581000000,-150,true,-0.66
"SSB",140753,"/Date(1702624094000)/",22450,3400,1047300,23558000000,-150,true,-0.66
"SSB",140753,"/Date(1702624094000)/",22500,1400,1043900,23482000000,-100,true,-0.44
"SSB",140617,"/Date(1702623997000)/",22550,1100,1042500,23450000000,-50,false,-0.22
"SSB",140554,"/Date(1702623973000)/",22550,2200,1041400,23426000000,-50,false,-0.22
"SSB",140538,"/Date(1702623959000)/",22500,8800,1039200,23376000000,-100,true,-0.44
"SSB",140538,"/Date(1702623959000)/",22500,6200,1030400,23178000000,-100,true,-0.44
"SSB",140526,"/Date(1702623946000)/",22500,12000,1024200,23039000000,-100,true,-0.44
"SSB",140526,"/Date(1702623946000)/",22550,3000,1012200,22769000000,-50,false,-0.22
"SSB",140506,"/Date(1702623927000)/",22500,1800,1009200,22701000000,-100,true,-0.44
"SSB",140506,"/Date(1702623927000)/",22500,100,1007400,22660000000,-100,true,-0.44
"SSB",140506,"/Date(1702623927000)/",22500,6600,1007300,22658000000,-100,true,-0.44
"SSB",140506,"/Date(1702623927000)/",22500,1500,1000700,22510000000,-100,true,-0.44
"SSB",140450,"/Date(1702623911000)/",22500,5100,999200,22476000000,-100,true,-0.44
"SSB",140450,"/Date(1702623911000)/",22500,2900,994100,22361000000,-100,true,-0.44
"SSB",140447,"/Date(1702623909000)/",22550,100,991200,22296000000,-50,false,-0.22
"SSB",140155,"/Date(1702623736000)/",22500,200,991100,22294000000,-100,true,-0.44
"SSB",140139,"/Date(1702623721000)/",22500,200,990900,22289000000,-100,false,-0.44
"SSB",140139,"/Date(1702623721000)/",22500,100,990700,22285000000,-100,false,-0.44
"SSB",140139,"/Date(1702623721000)/",22500,500,990600,22282000000,-100,false,-0.44
"SSB",140139,"/Date(1702623721000)/",22500,1100,990100,22271000000,-100,false,-0.44
"SSB",135740,"/Date(1702623478000)/",22500,1900,989000,22246000000,-100,true,-0.44
"SSB",135717,"/Date(1702623457000)/",22500,2000,987100,22204000000,-100,true,-0.44
"SSB",135434,"/Date(1702623294000)/",22500,6100,985100,22159000000,-100,false,-0.44
"SSB",135343,"/Date(1702623243000)/",22500,1200,979000,22021000000,-100,false,-0.44
"SSB",135334,"/Date(1702623235000)/",22400,8800,977800,21994000000,-200,true,-0.88
"SSB",135334,"/Date(1702623235000)/",22400,200,969000,21797000000,-200,true,-0.88
"SSB",135324,"/Date(1702623225000)/",22400,4800,968800,21793000000,-200,true,-0.88
"SSB",135324,"/Date(1702623225000)/",22400,1300,964000,21685000000,-200,true,-0.88
"SSB",135324,"/Date(1702623225000)/",22450,100,962700,21656000000,-150,true,-0.66
"SSB",135324,"/Date(1702623225000)/",22450,200,962600,21654000000,-150,true,-0.66
"SSB",135324,"/Date(1702623225000)/",22450,700,962400,21649000000,-150,true,-0.66
"SSB",135324,"/Date(1702623225000)/",22450,2800,961700,21634000000,-150,true,-0.66
"SSB",135220,"/Date(1702623160000)/",22500,2200,958900,21571000000,-100,false,-0.44
"SSB",135054,"/Date(1702623074000)/",22500,1000,956700,21521000000,-100,false,-0.44
