"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"CMG",144411,"/Date(1702971900000)/",38900,15200,26100,1011000000,-200,false,-0.51
"CMG",142650,"/Date(1702970858000)/",38750,200,10900,420000000,-350,false,-0.9
"CMG",142042,"/Date(1702970488000)/",38750,100,10700,412000000,-350,false,-0.9
"CMG",132930,"/Date(1702967413000)/",38500,600,10600,408000000,-600,true,-1.53
"CMG",130507,"/Date(1702965946000)/",38850,1000,10000,385000000,-250,false,-0.64
"CMG",130102,"/Date(1702965702000)/",38850,100,9000,346000000,-250,false,-0.64
"CMG",104904,"/Date(1702957769000)/",38250,200,8900,342000000,-850,false,-2.17
"CMG",104803,"/Date(1702957707000)/",38250,3000,8700,335000000,-850,false,-2.17
"CMG",104634,"/Date(1702957619000)/",38250,100,5700,220000000,-850,false,-2.17
"CMG",104609,"/Date(1702957593000)/",38250,100,5600,216000000,-850,true,-2.17
"CMG",104609,"/Date(1702957593000)/",38250,500,5500,212000000,-850,true,-2.17
"CMG",103821,"/Date(1702957123000)/",38250,100,5000,193000000,-850,true,-2.17
"CMG",103639,"/Date(1702957021000)/",38250,500,4900,189000000,-850,true,-2.17
"CMG",101245,"/Date(1702955586000)/",38700,100,4400,170000000,-400,false,-1.02
"CMG",101031,"/Date(1702955451000)/",38150,200,4300,166000000,-950,true,-2.43
"CMG",101031,"/Date(1702955451000)/",38150,100,4100,159000000,-950,true,-2.43
"CMG",101003,"/Date(1702955422000)/",38550,100,4000,155000000,-550,false,-1.41
"CMG",101003,"/Date(1702955422000)/",38550,100,3900,151000000,-550,false,-1.41
"CMG",95959,"/Date(1702954818000)/",38550,100,3800,147000000,-550,true,-1.41
"CMG",95351,"/Date(1702954450000)/",38800,200,3700,143000000,-300,true,-0.77
"CMG",95351,"/Date(1702954450000)/",38850,700,3500,136000000,-250,true,-0.64
"CMG",95309,"/Date(1702954410000)/",38900,300,2800,108000000,-200,false,-0.51
"CMG",94746,"/Date(1702954083000)/",38900,300,2500,97000000,-200,false,-0.51
"CMG",94029,"/Date(1702953645000)/",38900,100,2200,85000000,-200,false,-0.51
"CMG",93957,"/Date(1702953615000)/",38900,500,2100,81000000,-200,false,-0.51
"CMG",91445,"/Date(1702952101000)/",38900,1600,1600,62000000,-200,false,-0.51
