"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"G36",145922,"/Date(1702972740000)/",7100,1500,96630,684350200,0,true,0
"G36",145637,"/Date(1702972620000)/",7100,500,95130,673700200,0,true,0
"G36",145557,"/Date(1702972560000)/",7100,500,94630,670150200,0,true,0
"G36",145518,"/Date(1702972500000)/",7100,500,94130,666600200,0,true,0
"G36",145454,"/Date(1702972500000)/",7100,500,93630,663050200,0,true,0
"G36",145428,"/Date(1702972440000)/",7100,500,93130,659500200,0,true,0
"G36",144622,"/Date(1702971960000)/",7100,100,92630,655950200,0,true,0
"G36",143307,"/Date(1702971180000)/",7100,200,92530,655240200,0,true,0
"G36",143012,"/Date(1702971000000)/",7100,200,92330,653820200,0,false,0
"G36",142914,"/Date(1702970940000)/",7100,100,92130,652400200,0,false,0
"G36",142832,"/Date(1702970940000)/",7100,5000,92030,651690200,0,false,0
"G36",142807,"/Date(1702970880000)/",7100,5000,87030,616190200,0,false,0
"G36",142725,"/Date(1702970820000)/",7100,10000,82030,580690200,0,false,0
"G36",142259,"/Date(1702970580000)/",7000,9,72030,509690200,-100,true,-1.41
"G36",141746,"/Date(1702970280000)/",7000,1800,72021,509627200,-100,true,-1.41
"G36",141657,"/Date(1702970220000)/",7000,10000,70221,497027200,-100,true,-1.41
"G36",140539,"/Date(1702969560000)/",7100,200,60221,427027200,0,false,0
"G36",135604,"/Date(1702968960000)/",7100,3000,60021,425607200,0,false,0
"G36",135538,"/Date(1702968960000)/",7000,2500,57021,404307200,-100,true,-1.41
"G36",135247,"/Date(1702968780000)/",7100,58,54521,386807200,0,false,0
"G36",134811,"/Date(1702968480000)/",7100,300,54463,386401200,0,false,0
"G36",133528,"/Date(1702967700000)/",7100,3,54163,384271200,0,false,0
"G36",133251,"/Date(1702967580000)/",7100,58,54160,384250200,0,false,0
"G36",131421,"/Date(1702966440000)/",7100,500,54102,383844200,0,false,0
"G36",131345,"/Date(1702966440000)/",7100,200,53602,380294200,0,false,0
"G36",130914,"/Date(1702966140000)/",7100,1,53402,378874200,0,false,0
"G36",130023,"/Date(1702965600000)/",7100,500,53401,378867100,0,false,0
"G36",130019,"/Date(1702965600000)/",7100,100,52901,375317100,0,false,0
"G36",110555,"/Date(1702958760000)/",7100,5000,52801,374607100,0,false,0
"G36",110520,"/Date(1702958700000)/",7100,6,47801,339107100,0,false,0
"G36",110002,"/Date(1702958400000)/",7100,4900,47795,339064500,0,false,0
"G36",104213,"/Date(1702957320000)/",7000,2000,42895,304274500,-100,true,-1.41
"G36",102953,"/Date(1702956600000)/",7000,500,40895,290274500,-100,true,-1.41
"G36",102808,"/Date(1702956480000)/",7000,100,40395,286774500,-100,true,-1.41
"G36",102746,"/Date(1702956480000)/",7000,100,40295,286074500,-100,true,-1.41
"G36",102444,"/Date(1702956300000)/",7100,85,40195,285374500,0,false,0
"G36",102357,"/Date(1702956240000)/",7100,500,40110,284771000,0,true,0
"G36",102246,"/Date(1702956180000)/",7100,1500,39610,281221000,0,true,0
"G36",102017,"/Date(1702956000000)/",7100,1000,38110,270571000,0,true,0
"G36",101957,"/Date(1702956000000)/",7100,2000,37110,263471000,0,true,0
"G36",101746,"/Date(1702955880000)/",7100,17200,35110,249271000,0,true,0
"G36",95736,"/Date(1702954680000)/",7100,100,17910,127151000,0,true,0
"G36",94316,"/Date(1702953780000)/",7100,12900,17810,126441000,0,false,0
"G36",94027,"/Date(1702953600000)/",7100,1000,4910,34851000,0,false,0
"G36",93258,"/Date(1702953180000)/",7100,2900,3910,27751000,0,false,0
"G36",93229,"/Date(1702953120000)/",7100,300,1010,7161000,0,false,0
"G36",93056,"/Date(1702953060000)/",7100,10,710,5031000,0,false,0
"G36",92817,"/Date(1702952880000)/",7100,300,700,4960000,0,true,0
"G36",92815,"/Date(1702952880000)/",7100,100,400,2830000,0,false,0
"G36",91820,"/Date(1702952280000)/",7100,100,300,2120000,0,false,0
"G36",91412,"/Date(1702952040000)/",7000,100,200,1410000,-100,true,-1.41
"G36",91009,"/Date(1702951800000)/",7100,100,100,710000,0,false,0
