"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"CTR",144410,"/Date(1703058300000)/",86900,5600,87000,7542000000,0,false,0
"CTR",142831,"/Date(1703057359000)/",85800,400,81400,7055000000,-1100,true,-1.27
"CTR",142821,"/Date(1703057348000)/",85800,1200,81000,7021000000,-1100,false,-1.27
"CTR",142821,"/Date(1703057348000)/",85800,200,79800,6918000000,-1100,false,-1.27
"CTR",142821,"/Date(1703057348000)/",85900,500,79600,6901000000,-1000,false,-1.15
"CTR",142821,"/Date(1703057348000)/",86000,2000,79100,6858000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,100,77100,6686000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,200,77000,6677000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,600,76800,6660000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,100,76200,6608000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,100,76100,6600000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,200,76000,6591000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,100,75800,6574000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,100,75700,6565000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,100,75600,6557000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,100,75500,6548000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,500,75400,6540000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,100,74900,6497000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,200,74800,6488000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,100,74600,6471000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,100,74500,6462000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,100,74400,6454000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,200,74300,6445000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,100,74100,6428000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,300,74000,6419000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,100,73700,6393000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,3000,73600,6385000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86000,500,70600,6127000000,-900,false,-1.04
"CTR",142821,"/Date(1703057348000)/",86100,100,70100,6084000000,-800,false,-0.92
"CTR",142821,"/Date(1703057348000)/",86100,100,70000,6075000000,-800,false,-0.92
"CTR",142821,"/Date(1703057348000)/",86200,500,69900,6067000000,-700,false,-0.81
"CTR",142821,"/Date(1703057348000)/",86300,100,69400,6023000000,-600,false,-0.69
"CTR",142821,"/Date(1703057348000)/",86300,100,69300,6015000000,-600,false,-0.69
"CTR",142821,"/Date(1703057348000)/",86300,100,69200,6006000000,-600,false,-0.69
"CTR",142821,"/Date(1703057348000)/",86400,300,69100,5998000000,-500,false,-0.58
"CTR",142821,"/Date(1703057348000)/",86400,1000,68800,5972000000,-500,false,-0.58
"CTR",142821,"/Date(1703057348000)/",86500,400,67800,5885000000,-400,true,-0.46
"CTR",142821,"/Date(1703057348000)/",86500,100,67400,5851000000,-400,true,-0.46
"CTR",142821,"/Date(1703057348000)/",86500,100,67300,5842000000,-400,true,-0.46
"CTR",142821,"/Date(1703057348000)/",86500,100,67200,5833000000,-400,true,-0.46
"CTR",142821,"/Date(1703057348000)/",86500,100,67100,5825000000,-400,true,-0.46
"CTR",142821,"/Date(1703057348000)/",86500,100,67000,5816000000,-400,true,-0.46
"CTR",142821,"/Date(1703057348000)/",86500,1000,66900,5807000000,-400,true,-0.46
"CTR",142821,"/Date(1703057348000)/",86500,200,65900,5721000000,-400,true,-0.46
"CTR",142821,"/Date(1703057348000)/",86500,100,65700,5704000000,-400,true,-0.46
"CTR",142821,"/Date(1703057348000)/",86500,100,65600,5695000000,-400,true,-0.46
"CTR",142821,"/Date(1703057348000)/",86500,100,65500,5686000000,-400,true,-0.46
"CTR",142821,"/Date(1703057348000)/",86500,100,65400,5678000000,-400,true,-0.46
"CTR",142821,"/Date(1703057348000)/",86500,100,65300,5669000000,-400,true,-0.46
"CTR",142821,"/Date(1703057348000)/",86500,100,65200,5660000000,-400,true,-0.46
"CTR",142821,"/Date(1703057348000)/",86500,100,65100,5652000000,-400,true,-0.46
"CTR",142821,"/Date(1703057348000)/",86600,100,65000,5643000000,-300,true,-0.35
"CTR",142821,"/Date(1703057348000)/",86600,500,64900,5634000000,-300,true,-0.35
"CTR",142821,"/Date(1703057348000)/",86600,100,64400,5591000000,-300,true,-0.35
"CTR",142821,"/Date(1703057348000)/",86600,100,64300,5582000000,-300,true,-0.35
"CTR",142821,"/Date(1703057348000)/",86600,200,64200,5574000000,-300,true,-0.35
"CTR",142821,"/Date(1703057348000)/",86600,100,64000,5556000000,-300,true,-0.35
"CTR",142821,"/Date(1703057348000)/",86600,100,63900,5548000000,-300,true,-0.35
"CTR",142821,"/Date(1703057348000)/",86600,100,63800,5539000000,-300,true,-0.35
"CTR",142821,"/Date(1703057348000)/",86600,1000,63700,5530000000,-300,true,-0.35
"CTR",142821,"/Date(1703057348000)/",86600,1000,62700,5444000000,-300,true,-0.35
"CTR",142821,"/Date(1703057348000)/",86600,300,61700,5357000000,-300,true,-0.35
"CTR",142821,"/Date(1703057348000)/",86600,300,61400,5331000000,-300,true,-0.35
"CTR",142821,"/Date(1703057348000)/",86700,100,61100,5305000000,-200,true,-0.23
"CTR",142759,"/Date(1703057326000)/",86700,200,61000,5297000000,-200,true,-0.23
"CTR",142759,"/Date(1703057326000)/",86700,800,60800,5279000000,-200,true,-0.23
"CTR",142759,"/Date(1703057326000)/",86700,200,60000,5210000000,-200,true,-0.23
"CTR",142759,"/Date(1703057326000)/",86700,100,59800,5193000000,-200,true,-0.23
"CTR",142733,"/Date(1703057300000)/",86800,500,59700,5184000000,-100,false,-0.12
"CTR",142604,"/Date(1703057210000)/",86700,100,59200,5141000000,-200,true,-0.23
"CTR",142604,"/Date(1703057210000)/",86700,100,59100,5132000000,-200,true,-0.23
"CTR",142604,"/Date(1703057210000)/",86700,300,59000,5123000000,-200,true,-0.23
"CTR",142337,"/Date(1703057064000)/",86700,100,58700,5097000000,-200,false,-0.23
"CTR",142333,"/Date(1703057059000)/",86700,100,58600,5089000000,-200,false,-0.23
"CTR",142317,"/Date(1703057046000)/",86700,100,58500,5080000000,-200,true,-0.23
"CTR",142314,"/Date(1703057041000)/",86900,100,58400,5071000000,0,false,0
"CTR",142233,"/Date(1703056998000)/",86700,200,58300,5062000000,-200,true,-0.23
"CTR",142233,"/Date(1703056998000)/",86700,400,58100,5045000000,-200,true,-0.23
"CTR",142233,"/Date(1703056998000)/",86700,100,57700,5010000000,-200,true,-0.23
"CTR",142233,"/Date(1703056998000)/",86700,100,57600,5002000000,-200,true,-0.23
"CTR",142233,"/Date(1703056998000)/",86700,200,57500,4993000000,-200,true,-0.23
"CTR",141912,"/Date(1703056797000)/",86700,1400,57300,4976000000,-200,false,-0.23
"CTR",141859,"/Date(1703056787000)/",86700,100,55900,4854000000,-200,false,-0.23
"CTR",141849,"/Date(1703056777000)/",86700,200,55800,4846000000,-200,false,-0.23
"CTR",141804,"/Date(1703056732000)/",86700,1000,55600,4828000000,-200,false,-0.23
"CTR",141804,"/Date(1703056732000)/",86700,600,54600,4742000000,-200,false,-0.23
"CTR",141804,"/Date(1703056732000)/",86700,200,54000,4690000000,-200,false,-0.23
"CTR",141804,"/Date(1703056732000)/",86700,200,53800,4672000000,-200,false,-0.23
"CTR",141804,"/Date(1703056732000)/",86700,100,53600,4655000000,-200,false,-0.23
"CTR",141804,"/Date(1703056732000)/",86800,100,53500,4646000000,-100,false,-0.12
"CTR",141804,"/Date(1703056732000)/",86800,400,53400,4638000000,-100,false,-0.12
"CTR",141804,"/Date(1703056732000)/",86800,200,53000,4603000000,-100,false,-0.12
"CTR",141657,"/Date(1703056664000)/",86900,200,52800,4586000000,0,false,0
"CTR",141657,"/Date(1703056664000)/",86900,100,52600,4568000000,0,false,0
"CTR",141619,"/Date(1703056624000)/",86900,100,52500,4559000000,0,false,0
"CTR",141616,"/Date(1703056622000)/",86900,300,52400,4551000000,0,false,0
"CTR",141540,"/Date(1703056586000)/",86900,800,52100,4525000000,0,false,0
"CTR",141531,"/Date(1703056577000)/",86900,700,51300,4455000000,0,false,0
"CTR",141531,"/Date(1703056577000)/",86900,100,50600,4394000000,0,false,0
"CTR",141531,"/Date(1703056577000)/",86900,200,50500,4386000000,0,false,0
