"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"KHP",144413,"/Date(1703058300000)/",9150,100,14500,132000000,-10,false,-0.11
"KHP",142054,"/Date(1703056902000)/",9140,300,14400,131000000,-20,false,-0.22
"KHP",141934,"/Date(1703056822000)/",9140,100,14100,129000000,-20,false,-0.22
"KHP",141417,"/Date(1703056502000)/",9170,200,14000,128000000,10,false,0.11
"KHP",141417,"/Date(1703056502000)/",9160,100,13800,126000000,0,false,0
"KHP",140744,"/Date(1703056111000)/",9150,100,13700,125000000,-10,false,-0.11
"KHP",133818,"/Date(1703054340000)/",9170,100,13600,124000000,10,false,0.11
"KHP",111115,"/Date(1703045502000)/",9130,100,13500,123000000,-30,true,-0.33
"KHP",101829,"/Date(1703042330000)/",9180,400,13400,122000000,20,false,0.22
"KHP",101829,"/Date(1703042330000)/",9180,200,13000,119000000,20,false,0.22
"KHP",101404,"/Date(1703042066000)/",9180,2300,12800,117000000,20,true,0.22
"KHP",101313,"/Date(1703042013000)/",9180,400,10500,96000000,20,false,0.22
"KHP",101313,"/Date(1703042013000)/",9180,400,10100,92000000,20,false,0.22
"KHP",101313,"/Date(1703042013000)/",9180,100,9700,88000000,20,false,0.22
"KHP",101313,"/Date(1703042013000)/",9180,100,9600,87000000,20,false,0.22
"KHP",101215,"/Date(1703041955000)/",9180,100,9500,86000000,20,false,0.22
"KHP",95220,"/Date(1703040760000)/",9110,2100,9400,85000000,-50,true,-0.55
"KHP",95220,"/Date(1703040760000)/",9110,100,7300,66000000,-50,true,-0.55
"KHP",95220,"/Date(1703040760000)/",9150,3600,7200,65000000,-10,false,-0.11
"KHP",95142,"/Date(1703040720000)/",9160,1700,3600,32000000,0,false,0
"KHP",95019,"/Date(1703040637000)/",9160,200,1900,17000000,0,true,0
"KHP",93420,"/Date(1703039677000)/",9190,100,1700,15000000,30,true,0.33
"KHP",93016,"/Date(1703039433000)/",9180,400,1600,14000000,20,false,0.22
"KHP",92932,"/Date(1703039387000)/",9180,300,1200,11000000,20,false,0.22
"KHP",92932,"/Date(1703039387000)/",9170,500,900,8000000,10,false,0.11
"KHP",92925,"/Date(1703039382000)/",9160,100,400,3000000,0,false,0
"KHP",92358,"/Date(1703039054000)/",9160,100,300,2000000,0,false,0
"KHP",92017,"/Date(1703038832000)/",9160,100,200,1000000,0,false,0
"KHP",91449,"/Date(1703038500000)/",9150,100,100,0,-10,false,-0.11
