"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"DAH",144420,"/Date(1703144700000)/",4370,1500,134800,585000000,10,true,0.23
"DAH",142452,"/Date(1703143533000)/",4380,100,133300,578000000,20,false,0.46
"DAH",142352,"/Date(1703143473000)/",4330,1300,133200,578000000,-30,true,-0.69
"DAH",142329,"/Date(1703143449000)/",4330,17300,131900,572000000,-30,true,-0.69
"DAH",142329,"/Date(1703143449000)/",4330,2500,114600,497000000,-30,true,-0.69
"DAH",142329,"/Date(1703143449000)/",4330,1500,112100,486000000,-30,true,-0.69
"DAH",142329,"/Date(1703143449000)/",4330,1000,110600,480000000,-30,true,-0.69
"DAH",142329,"/Date(1703143449000)/",4330,500,109600,475000000,-30,true,-0.69
"DAH",142329,"/Date(1703143449000)/",4340,1000,109100,473000000,-20,false,-0.46
"DAH",142329,"/Date(1703143449000)/",4340,1200,108100,469000000,-20,false,-0.46
"DAH",142329,"/Date(1703143449000)/",4340,500,106900,464000000,-20,false,-0.46
"DAH",142329,"/Date(1703143449000)/",4340,1000,106400,461000000,-20,false,-0.46
"DAH",142329,"/Date(1703143449000)/",4340,500,105400,457000000,-20,false,-0.46
"DAH",142329,"/Date(1703143449000)/",4350,3000,104900,455000000,-10,false,-0.23
"DAH",141352,"/Date(1703142872000)/",4380,900,101900,442000000,20,false,0.46
"DAH",141352,"/Date(1703142872000)/",4380,100,101000,438000000,20,false,0.46
"DAH",141352,"/Date(1703142872000)/",4370,2000,100900,438000000,10,false,0.23
"DAH",141352,"/Date(1703142872000)/",4370,1000,98900,429000000,10,false,0.23
"DAH",135734,"/Date(1703141891000)/",4380,100,97900,424000000,20,false,0.46
"DAH",135708,"/Date(1703141866000)/",4380,100,97800,424000000,20,false,0.46
"DAH",134919,"/Date(1703141394000)/",4360,100,97700,424000000,0,false,0
"DAH",134919,"/Date(1703141394000)/",4360,500,97600,423000000,0,false,0
"DAH",134919,"/Date(1703141394000)/",4350,6100,97100,421000000,-10,false,-0.23
"DAH",134737,"/Date(1703141294000)/",4350,500,91000,394000000,-10,false,-0.23
"DAH",134737,"/Date(1703141294000)/",4350,100,90500,392000000,-10,false,-0.23
"DAH",134737,"/Date(1703141294000)/",4350,300,90400,392000000,-10,false,-0.23
"DAH",134610,"/Date(1703141207000)/",4360,100,90100,390000000,0,false,0
"DAH",134604,"/Date(1703141200000)/",4360,400,90000,390000000,0,false,0
"DAH",134538,"/Date(1703141175000)/",4360,200,89600,388000000,0,false,0
"DAH",134353,"/Date(1703141070000)/",4360,5000,89400,387000000,0,false,0
"DAH",134240,"/Date(1703140995000)/",4360,200,84400,366000000,0,false,0
"DAH",134205,"/Date(1703140961000)/",4360,100,84200,365000000,0,false,0
"DAH",134026,"/Date(1703140862000)/",4360,500,84100,364000000,0,false,0
"DAH",133857,"/Date(1703140771000)/",4360,500,83600,362000000,0,false,0
"DAH",133853,"/Date(1703140771000)/",4360,5000,83100,360000000,0,false,0
"DAH",133627,"/Date(1703140622000)/",4360,300,78100,338000000,0,false,0
"DAH",133400,"/Date(1703140477000)/",4360,100,77800,337000000,0,false,0
"DAH",133338,"/Date(1703140453000)/",4360,300,77700,336000000,0,false,0
