"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"NAF",144423,"/Date(1703144701000)/",15100,400,28700,431000000,-100,true,-0.66
"NAF",142619,"/Date(1703143620000)/",15050,100,28300,425000000,-150,false,-0.99
"NAF",142619,"/Date(1703143620000)/",15050,900,28200,424000000,-150,false,-0.99
"NAF",142540,"/Date(1703143581000)/",15050,2000,27300,410000000,-150,true,-0.99
"NAF",142540,"/Date(1703143581000)/",15050,100,25300,380000000,-150,true,-0.99
"NAF",142534,"/Date(1703143576000)/",15050,100,25200,379000000,-150,true,-0.99
"NAF",142534,"/Date(1703143576000)/",15050,800,25100,377000000,-150,true,-0.99
"NAF",141137,"/Date(1703142737000)/",15100,900,24300,365000000,-100,false,-0.66
"NAF",141137,"/Date(1703142737000)/",15100,100,23400,352000000,-100,false,-0.66
"NAF",141137,"/Date(1703142737000)/",15100,1300,23300,350000000,-100,false,-0.66
"NAF",135312,"/Date(1703141629000)/",15100,100,22000,331000000,-100,false,-0.66
"NAF",133510,"/Date(1703140545000)/",15100,100,21900,329000000,-100,false,-0.66
"NAF",133335,"/Date(1703140451000)/",15050,200,21800,327000000,-150,true,-0.99
"NAF",133335,"/Date(1703140451000)/",15050,800,21600,324000000,-150,true,-0.99
"NAF",132348,"/Date(1703139861000)/",15050,300,20800,312000000,-150,false,-0.99
"NAF",132335,"/Date(1703139849000)/",15050,500,20500,308000000,-150,false,-0.99
"NAF",131706,"/Date(1703139460000)/",15050,100,20000,300000000,-150,false,-0.99
"NAF",131300,"/Date(1703139213000)/",15050,100,19900,299000000,-150,false,-0.99
"NAF",125940,"/Date(1703138400000)/",15050,100,19800,297000000,-150,true,-0.99
"NAF",112613,"/Date(1703132796000)/",15050,100,19700,296000000,-150,true,-0.99
"NAF",111122,"/Date(1703131901000)/",15050,100,19600,294000000,-150,false,-0.99
"NAF",110720,"/Date(1703131660000)/",15050,100,19500,293000000,-150,false,-0.99
"NAF",110607,"/Date(1703131586000)/",15000,300,19400,291000000,-200,true,-1.32
"NAF",110532,"/Date(1703131551000)/",15050,100,19100,287000000,-150,true,-0.99
"NAF",110447,"/Date(1703131507000)/",15050,100,19000,285000000,-150,true,-0.99
"NAF",101324,"/Date(1703128418000)/",15000,1000,18900,284000000,-200,true,-1.32
"NAF",101120,"/Date(1703128294000)/",15000,4000,17900,269000000,-200,true,-1.32
"NAF",101120,"/Date(1703128294000)/",15000,1000,13900,209000000,-200,true,-1.32
"NAF",100151,"/Date(1703127726000)/",15000,1000,12900,194000000,-200,true,-1.32
"NAF",100000,"/Date(1703127612000)/",15000,500,11900,179000000,-200,false,-1.32
"NAF",95903,"/Date(1703127557000)/",15000,500,11400,171000000,-200,false,-1.32
"NAF",95847,"/Date(1703127539000)/",15000,2000,10900,164000000,-200,false,-1.32
"NAF",94838,"/Date(1703126931000)/",15000,100,8900,134000000,-200,false,-1.32
"NAF",94453,"/Date(1703126703000)/",15000,1000,8800,132000000,-200,false,-1.32
"NAF",94346,"/Date(1703126638000)/",14950,600,7800,117000000,-250,true,-1.64
"NAF",94346,"/Date(1703126637000)/",14950,100,7200,108000000,-250,true,-1.64
"NAF",94346,"/Date(1703126637000)/",14950,200,7100,107000000,-250,true,-1.64
"NAF",94343,"/Date(1703126635000)/",15000,200,6900,104000000,-200,false,-1.32
"NAF",94139,"/Date(1703126509000)/",15000,1000,6700,101000000,-200,false,-1.32
"NAF",93842,"/Date(1703126333000)/",15000,100,5700,86000000,-200,false,-1.32
"NAF",93707,"/Date(1703126239000)/",15000,100,5600,84000000,-200,false,-1.32
"NAF",93603,"/Date(1703126173000)/",15000,100,5500,83000000,-200,false,-1.32
"NAF",93603,"/Date(1703126173000)/",15000,200,5400,81000000,-200,false,-1.32
"NAF",93603,"/Date(1703126173000)/",15050,200,5200,78000000,-150,true,-0.99
"NAF",93603,"/Date(1703126173000)/",15050,200,5000,75000000,-150,true,-0.99
"NAF",93603,"/Date(1703126173000)/",15100,300,4800,72000000,-100,true,-0.66
"NAF",93603,"/Date(1703126173000)/",15150,500,4500,68000000,-50,true,-0.33
"NAF",93603,"/Date(1703126173000)/",15150,200,4000,60000000,-50,true,-0.33
"NAF",93309,"/Date(1703126000000)/",15150,100,3800,57000000,-50,true,-0.33
"NAF",92101,"/Date(1703125269000)/",15200,500,3700,56000000,0,false,0
"NAF",91832,"/Date(1703125121000)/",15200,2000,3200,48000000,0,true,0
"NAF",91458,"/Date(1703124907000)/",15200,1000,1200,18000000,0,true,0
"NAF",91455,"/Date(1703124901000)/",15200,200,200,3000000,0,true,0
