"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"CTS",144413,"/Date(1703490300000)/",27950,39900,1110200,31037000000,100,true,0.36
"CTS",142908,"/Date(1703489396000)/",27900,100,1070300,29922000000,50,true,0.18
"CTS",142852,"/Date(1703489378000)/",27900,400,1070200,29919000000,50,true,0.18
"CTS",142852,"/Date(1703489378000)/",27900,1600,1069800,29908000000,50,true,0.18
"CTS",142845,"/Date(1703489374000)/",27900,200,1068200,29863000000,50,true,0.18
"CTS",142839,"/Date(1703489366000)/",27900,200,1068000,29858000000,50,true,0.18
"CTS",142839,"/Date(1703489366000)/",27900,4800,1067800,29852000000,50,true,0.18
"CTS",142836,"/Date(1703489363000)/",27900,200,1063000,29718000000,50,false,0.18
"CTS",142830,"/Date(1703489358000)/",27900,3700,1062800,29713000000,50,false,0.18
"CTS",142830,"/Date(1703489358000)/",27900,300,1059100,29609000000,50,false,0.18
"CTS",142817,"/Date(1703489345000)/",27900,500,1058800,29601000000,50,false,0.18
"CTS",142817,"/Date(1703489345000)/",27900,200,1058300,29587000000,50,false,0.18
"CTS",142814,"/Date(1703489340000)/",27900,100,1058100,29581000000,50,true,0.18
"CTS",142814,"/Date(1703489340000)/",27950,500,1058000,29579000000,100,false,0.36
"CTS",142814,"/Date(1703489340000)/",27950,600,1057500,29565000000,100,false,0.36
"CTS",142810,"/Date(1703489338000)/",27900,200,1056900,29548000000,50,true,0.18
"CTS",142810,"/Date(1703489338000)/",27900,300,1056700,29542000000,50,true,0.18
"CTS",142810,"/Date(1703489338000)/",27900,3000,1056400,29534000000,50,true,0.18
"CTS",142810,"/Date(1703489338000)/",27900,1000,1053400,29450000000,50,true,0.18
"CTS",142810,"/Date(1703489338000)/",27900,3000,1052400,29422000000,50,true,0.18
"CTS",142810,"/Date(1703489338000)/",27900,100,1049400,29339000000,50,true,0.18
"CTS",142810,"/Date(1703489338000)/",27900,500,1049300,29336000000,50,true,0.18
"CTS",142810,"/Date(1703489338000)/",27900,1000,1048800,29322000000,50,true,0.18
"CTS",142810,"/Date(1703489338000)/",27900,2000,1047800,29294000000,50,true,0.18
"CTS",142810,"/Date(1703489338000)/",27900,1000,1045800,29238000000,50,true,0.18
"CTS",142810,"/Date(1703489338000)/",27900,5000,1044800,29210000000,50,true,0.18
"CTS",142810,"/Date(1703489338000)/",27900,100,1039800,29071000000,50,true,0.18
"CTS",142810,"/Date(1703489338000)/",27900,100,1039700,29068000000,50,true,0.18
"CTS",142810,"/Date(1703489338000)/",27900,6000,1039600,29065000000,50,true,0.18
"CTS",142810,"/Date(1703489338000)/",27900,300,1033600,28898000000,50,true,0.18
"CTS",142810,"/Date(1703489338000)/",27900,5400,1033300,28889000000,50,true,0.18
"CTS",142807,"/Date(1703489336000)/",27950,100,1027900,28739000000,100,false,0.36
"CTS",142758,"/Date(1703489325000)/",27900,500,1027800,28736000000,50,true,0.18
"CTS",142758,"/Date(1703489325000)/",27900,500,1027300,28722000000,50,true,0.18
"CTS",142758,"/Date(1703489325000)/",27900,500,1026800,28708000000,50,true,0.18
"CTS",142758,"/Date(1703489325000)/",27900,500,1026300,28694000000,50,true,0.18
"CTS",142754,"/Date(1703489322000)/",27950,100,1025800,28680000000,100,false,0.36
"CTS",142754,"/Date(1703489321000)/",27950,100,1025700,28677000000,100,false,0.36
"CTS",142754,"/Date(1703489321000)/",27950,2000,1025600,28675000000,100,false,0.36
"CTS",142754,"/Date(1703489321000)/",27950,400,1023600,28619000000,100,false,0.36
"CTS",142754,"/Date(1703489321000)/",27950,1700,1023200,28607000000,100,false,0.36
"CTS",142751,"/Date(1703489319000)/",27950,3300,1021500,28560000000,100,true,0.36
"CTS",142751,"/Date(1703489319000)/",27950,2900,1018200,28468000000,100,true,0.36
"CTS",142751,"/Date(1703489319000)/",27950,500,1015300,28387000000,100,true,0.36
"CTS",142751,"/Date(1703489319000)/",27950,100,1014800,28373000000,100,true,0.36
"CTS",142751,"/Date(1703489319000)/",27950,1000,1014700,28370000000,100,true,0.36
"CTS",142751,"/Date(1703489319000)/",27950,200,1013700,28342000000,100,true,0.36
"CTS",142751,"/Date(1703489319000)/",27950,100,1013500,28336000000,100,true,0.36
"CTS",142751,"/Date(1703489319000)/",27950,10000,1013400,28334000000,100,true,0.36
"CTS",142751,"/Date(1703489319000)/",27950,500,1003400,28054000000,100,true,0.36
"CTS",142751,"/Date(1703489319000)/",27950,100,1002900,28040000000,100,true,0.36
"CTS",142751,"/Date(1703489319000)/",27950,1300,1002800,28037000000,100,true,0.36
"CTS",142739,"/Date(1703489306000)/",27950,500,1001500,28001000000,100,true,0.36
"CTS",142722,"/Date(1703489289000)/",27950,200,1001000,27987000000,100,true,0.36
"CTS",142631,"/Date(1703489237000)/",28000,100,1000800,27981000000,150,false,0.54
"CTS",142628,"/Date(1703489235000)/",28000,900,1000700,27979000000,150,false,0.54
