"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"IDV",141115,"/Date(1703488276000)/",37500,7,4308,161257600,0,true,0
"IDV",140727,"/Date(1703488047000)/",37500,100,4301,160993700,0,true,0
"IDV",140702,"/Date(1703488022000)/",37500,100,4201,157243700,0,false,0
"IDV",134550,"/Date(1703486750000)/",37400,900,4101,153493700,-100,true,-0.27
"IDV",134043,"/Date(1703486443000)/",37400,500,3201,119833700,-100,false,-0.27
"IDV",133839,"/Date(1703486319000)/",37400,500,2701,101133700,-100,false,-0.27
"IDV",133732,"/Date(1703486252000)/",37400,500,2201,82433700,-100,false,-0.27
"IDV",130020,"/Date(1703484004000)/",37400,1100,1701,63733700,-100,false,-0.27
"IDV",111942,"/Date(1703477982000)/",37700,1,601,22563700,200,false,0.53
"IDV",110925,"/Date(1703477365000)/",37700,11,600,22526000,200,false,0.53
"IDV",110422,"/Date(1703477062000)/",37700,2,589,22113500,200,false,0.53
"IDV",110036,"/Date(1703476836000)/",37700,1,587,22038500,200,false,0.53
"IDV",105730,"/Date(1703476650000)/",37700,85,586,22001000,200,false,0.53
"IDV",104304,"/Date(1703475784000)/",37700,100,501,18837200,200,false,0.53
"IDV",104226,"/Date(1703475746000)/",37700,1,401,15067200,200,false,0.53
"IDV",104115,"/Date(1703475676000)/",37700,300,400,15030000,200,false,0.53
"IDV",95642,"/Date(1703473002000)/",37200,100,100,3720000,-300,true,-0.8
