"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"MSR",145612,"/Date(1703490960000)/",14500,300,75155,1090323100,100,false,0.69
"MSR",145409,"/Date(1703490840000)/",14500,200,74855,1085973100,100,true,0.69
"MSR",145106,"/Date(1703490660000)/",14500,100,74655,1083073100,100,true,0.69
"MSR",144558,"/Date(1703490360000)/",14500,100,74555,1081623100,100,true,0.69
"MSR",144018,"/Date(1703490000000)/",14500,1300,74455,1080173100,100,false,0.69
"MSR",143415,"/Date(1703489640000)/",14500,200,73155,1061323100,100,false,0.69
"MSR",142956,"/Date(1703489400000)/",14500,1000,72955,1058423100,100,true,0.69
"MSR",142948,"/Date(1703489400000)/",14500,1000,71955,1043923100,100,true,0.69
"MSR",142827,"/Date(1703489280000)/",14500,1000,70955,1029423100,100,true,0.69
"MSR",142801,"/Date(1703489280000)/",14500,7500,69955,1014923100,100,true,0.69
"MSR",141846,"/Date(1703488740000)/",14500,100,62455,906173100,100,true,0.69
"MSR",141628,"/Date(1703488560000)/",14500,900,62355,904723100,100,true,0.69
"MSR",141317,"/Date(1703488380000)/",14500,300,61455,891673100,100,true,0.69
"MSR",141006,"/Date(1703488200000)/",14500,3500,61155,887323100,100,true,0.69
"MSR",140806,"/Date(1703488080000)/",14500,500,57655,836573100,100,true,0.69
"MSR",140441,"/Date(1703487900000)/",14500,1000,57155,829323100,100,true,0.69
"MSR",140404,"/Date(1703487840000)/",14600,400,56155,814823100,200,false,1.39
"MSR",140027,"/Date(1703487600000)/",14600,32,55755,808983100,200,false,1.39
"MSR",135905,"/Date(1703487540000)/",14600,3000,55723,808522300,200,false,1.39
"MSR",135447,"/Date(1703487300000)/",14500,1300,52723,764722300,100,false,0.69
"MSR",134546,"/Date(1703486760000)/",14500,10,51423,745872300,100,false,0.69
"MSR",134308,"/Date(1703486580000)/",14500,8900,51413,745728300,100,false,0.69
"MSR",134139,"/Date(1703486520000)/",14500,1700,42513,616678300,100,true,0.69
"MSR",133942,"/Date(1703486400000)/",14500,1,40813,592028300,100,true,0.69
"MSR",133928,"/Date(1703486340000)/",14500,400,40812,592013900,100,true,0.69
"MSR",133755,"/Date(1703486280000)/",14500,7900,40412,586213900,100,false,0.69
"MSR",133309,"/Date(1703485980000)/",14400,2500,32512,471663900,0,true,0
"MSR",132707,"/Date(1703485620000)/",14300,200,30012,435663900,-100,true,-0.69
"MSR",132347,"/Date(1703485440000)/",14300,200,29812,432803900,-100,true,-0.69
"MSR",132128,"/Date(1703485260000)/",14400,1,29612,429943900,0,false,0
"MSR",132112,"/Date(1703485260000)/",14400,1000,29611,429929500,0,true,0
"MSR",132010,"/Date(1703485200000)/",14400,2500,28611,415529500,0,true,0
"MSR",131903,"/Date(1703485140000)/",14400,2000,26111,379529500,0,true,0
"MSR",131805,"/Date(1703485080000)/",14500,10,24111,350729500,100,false,0.69
"MSR",130118,"/Date(1703484060000)/",14500,200,24101,350584500,100,false,0.69
"MSR",130025,"/Date(1703484000000)/",14500,200,23901,347684500,100,false,0.69
"MSR",110026,"/Date(1703476800000)/",14500,1,23701,344784500,100,false,0.69
"MSR",105208,"/Date(1703476320000)/",14500,900,23700,344770000,100,false,0.69
"MSR",105146,"/Date(1703476320000)/",14500,200,22800,331720000,100,true,0.69
"MSR",104719,"/Date(1703476020000)/",14500,2500,22600,328820000,100,true,0.69
"MSR",102608,"/Date(1703474760000)/",14600,500,20100,292570000,200,true,1.39
"MSR",102553,"/Date(1703474760000)/",14600,500,19600,285270000,200,true,1.39
"MSR",102139,"/Date(1703474520000)/",14600,6900,19100,277970000,200,true,1.39
"MSR",101927,"/Date(1703474340000)/",14500,700,12200,177230000,100,false,0.69
"MSR",101553,"/Date(1703474160000)/",14500,200,11500,167080000,100,false,0.69
"MSR",100905,"/Date(1703473740000)/",14500,100,11300,164180000,100,true,0.69
"MSR",95832,"/Date(1703473140000)/",14500,200,11200,162730000,100,true,0.69
"MSR",95101,"/Date(1703472660000)/",14500,200,11000,159830000,100,true,0.69
"MSR",95043,"/Date(1703472660000)/",14500,3000,10800,156930000,100,true,0.69
"MSR",94346,"/Date(1703472240000)/",14500,100,7800,113430000,100,true,0.69
"MSR",94257,"/Date(1703472180000)/",14500,5000,7700,111980000,100,true,0.69
"MSR",93024,"/Date(1703471400000)/",14600,600,2700,39480000,200,false,1.39
"MSR",92437,"/Date(1703471100000)/",14600,1400,2100,30720000,200,false,1.39
"MSR",92043,"/Date(1703470860000)/",14600,100,700,10280000,200,false,1.39
"MSR",91824,"/Date(1703470680000)/",14700,100,600,8820000,300,false,2.08
"MSR",91444,"/Date(1703470500000)/",14700,400,500,7350000,300,false,2.08
"MSR",91339,"/Date(1703470440000)/",14700,100,100,1470000,300,false,2.08
