"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"SGP",144954,"/Date(1703490600000)/",16800,12200,82149,1363130300,500,true,3.07
"SGP",144721,"/Date(1703490420000)/",16700,100,69949,1158170300,400,true,2.45
"SGP",143654,"/Date(1703489820000)/",16800,1000,69849,1156500300,500,false,3.07
"SGP",143458,"/Date(1703489700000)/",16800,600,68849,1139700300,500,false,3.07
"SGP",142507,"/Date(1703489100000)/",16800,2300,68249,1129620300,500,true,3.07
"SGP",142456,"/Date(1703489100000)/",16800,1500,65949,1090980300,500,true,3.07
"SGP",142439,"/Date(1703489100000)/",16800,100,64449,1065780300,500,true,3.07
"SGP",142351,"/Date(1703489040000)/",16800,2000,64349,1064100300,500,true,3.07
"SGP",142344,"/Date(1703489040000)/",16800,2000,62349,1030500300,500,true,3.07
"SGP",142335,"/Date(1703489040000)/",16800,1000,60349,996900300,500,false,3.07
"SGP",142300,"/Date(1703488980000)/",16800,1000,59349,980100300,500,false,3.07
"SGP",142128,"/Date(1703488860000)/",16800,4100,58349,963300300,500,false,3.07
"SGP",142105,"/Date(1703488860000)/",16700,4200,54249,894420300,400,true,2.45
"SGP",141432,"/Date(1703488500000)/",16700,300,50049,824280300,400,false,2.45
"SGP",141407,"/Date(1703488440000)/",16700,900,49749,819270300,400,true,2.45
"SGP",141404,"/Date(1703488440000)/",16700,100,48849,804240300,400,false,2.45
"SGP",141319,"/Date(1703488380000)/",16700,1500,48749,802570300,400,false,2.45
"SGP",141256,"/Date(1703488380000)/",16700,3300,47249,777520300,400,false,2.45
"SGP",141217,"/Date(1703488320000)/",16600,400,43949,722410300,300,true,1.84
"SGP",141006,"/Date(1703488200000)/",16600,300,43549,715770300,300,true,1.84
"SGP",140724,"/Date(1703488020000)/",16600,2500,43249,710790300,300,false,1.84
"SGP",140702,"/Date(1703488020000)/",16600,100,40749,669290300,300,false,1.84
"SGP",140505,"/Date(1703487900000)/",16600,2900,40649,667630300,300,true,1.84
"SGP",140500,"/Date(1703487900000)/",16700,100,37749,619490300,400,false,2.45
"SGP",140457,"/Date(1703487900000)/",16600,700,37649,617820300,300,true,1.84
"SGP",140353,"/Date(1703487840000)/",16600,200,36949,606200300,300,true,1.84
"SGP",140259,"/Date(1703487780000)/",16600,1000,36749,602880300,300,true,1.84
"SGP",140229,"/Date(1703487720000)/",16600,2000,35749,586280300,300,true,1.84
"SGP",140210,"/Date(1703487720000)/",16600,14,33749,553080300,300,true,1.84
"SGP",140135,"/Date(1703487720000)/",16600,1,33735,552850700,300,true,1.84
"SGP",140126,"/Date(1703487660000)/",16600,1,33734,552834300,300,true,1.84
"SGP",140112,"/Date(1703487660000)/",16600,1600,33733,552817900,300,false,1.84
"SGP",140106,"/Date(1703487660000)/",16600,2000,32133,526257900,300,false,1.84
"SGP",140051,"/Date(1703487660000)/",16500,4400,30133,493057900,200,false,1.23
"SGP",140044,"/Date(1703487660000)/",16400,200,25733,420457900,100,false,0.61
"SGP",135958,"/Date(1703487600000)/",16400,2000,25533,417177900,100,false,0.61
"SGP",135758,"/Date(1703487480000)/",16400,200,23533,384377900,100,false,0.61
"SGP",135619,"/Date(1703487360000)/",16400,500,23333,381097900,100,false,0.61
"SGP",134148,"/Date(1703486520000)/",16400,2000,22833,372897900,100,false,0.61
"SGP",133336,"/Date(1703486040000)/",16300,200,20833,340097900,0,true,0
"SGP",132907,"/Date(1703485740000)/",16400,500,20633,336837900,100,false,0.61
"SGP",130910,"/Date(1703484540000)/",16400,100,20133,328637900,100,false,0.61
"SGP",111522,"/Date(1703477700000)/",16400,200,20033,326997900,100,true,0.61
"SGP",111422,"/Date(1703477640000)/",16400,100,19833,323717900,100,true,0.61
"SGP",110248,"/Date(1703476980000)/",16400,2700,19733,322077900,100,true,0.61
"SGP",110128,"/Date(1703476860000)/",16400,500,17033,277797900,100,false,0.61
"SGP",105851,"/Date(1703476740000)/",16400,700,16533,269597900,100,false,0.61
"SGP",105747,"/Date(1703476680000)/",16400,300,15833,258117900,100,false,0.61
"SGP",105423,"/Date(1703476440000)/",16300,3100,15533,253197900,0,true,0
"SGP",104242,"/Date(1703475780000)/",16300,100,12433,202667900,0,true,0
"SGP",103942,"/Date(1703475600000)/",16300,1100,12333,201037900,0,true,0
"SGP",102355,"/Date(1703474640000)/",16300,2000,11233,183107900,0,true,0
"SGP",100256,"/Date(1703473380000)/",16300,4000,9233,150507900,0,true,0
"SGP",95508,"/Date(1703472900000)/",16300,23,5233,85307900,0,true,0
"SGP",95031,"/Date(1703472660000)/",16300,3600,5210,84933000,0,true,0
"SGP",94721,"/Date(1703472420000)/",16300,700,1610,26253000,0,true,0
"SGP",94120,"/Date(1703472060000)/",16300,10,910,14843000,0,true,0
"SGP",93437,"/Date(1703471700000)/",16300,100,900,14680000,0,true,0
"SGP",93032,"/Date(1703471460000)/",16300,200,800,13050000,0,false,0
"SGP",92822,"/Date(1703471280000)/",16300,500,600,9790000,0,true,0
"SGP",90521,"/Date(1703469900000)/",16400,100,100,1640000,100,false,0.61
