"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"BCE",142624,"/Date(1703575558000)/",5790,300,104100,601000000,10,false,0.17
"BCE",141956,"/Date(1703575170000)/",5800,1500,103800,599000000,20,false,0.35
"BCE",140911,"/Date(1703574525000)/",5800,700,102300,591000000,20,true,0.35
"BCE",140713,"/Date(1703574408000)/",5800,100,101600,586000000,20,true,0.35
"BCE",134836,"/Date(1703573290000)/",5800,1000,101500,586000000,20,false,0.35
"BCE",134731,"/Date(1703573226000)/",5800,1500,100500,580000000,20,false,0.35
"BCE",134536,"/Date(1703573112000)/",5800,200,99000,571000000,20,true,0.35
"BCE",134536,"/Date(1703573112000)/",5800,800,98800,570000000,20,true,0.35
"BCE",134536,"/Date(1703573112000)/",5800,500,98000,566000000,20,true,0.35
"BCE",134501,"/Date(1703573078000)/",5820,1000,97500,563000000,40,false,0.69
"BCE",134322,"/Date(1703572976000)/",5800,500,96500,557000000,20,true,0.35
"BCE",133912,"/Date(1703572729000)/",5800,100,96000,554000000,20,true,0.35
"BCE",133434,"/Date(1703572449000)/",5850,400,95900,553000000,70,false,1.21
"BCE",133434,"/Date(1703572449000)/",5850,300,95500,551000000,70,false,1.21
"BCE",133434,"/Date(1703572449000)/",5850,200,95200,549000000,70,false,1.21
"BCE",133434,"/Date(1703572449000)/",5850,100,95000,548000000,70,false,1.21
"BCE",133122,"/Date(1703572257000)/",5850,200,94900,548000000,70,false,1.21
"BCE",133047,"/Date(1703572224000)/",5800,400,94700,546000000,20,true,0.35
"BCE",132546,"/Date(1703571925000)/",5850,100,94300,544000000,70,false,1.21
"BCE",132511,"/Date(1703571888000)/",5840,300,94200,543000000,60,false,1.04
"BCE",132215,"/Date(1703571712000)/",5840,700,93900,542000000,60,false,1.04
"BCE",132020,"/Date(1703571597000)/",5840,1000,93200,538000000,60,true,1.04
"BCE",131910,"/Date(1703571527000)/",5840,200,92200,532000000,60,false,1.04
"BCE",131746,"/Date(1703571445000)/",5840,100,92000,531000000,60,false,1.04
"BCE",131746,"/Date(1703571445000)/",5840,200,91900,530000000,60,false,1.04
"BCE",131734,"/Date(1703571432000)/",5780,8000,91700,529000000,0,true,0
"BCE",130850,"/Date(1703570907000)/",5840,200,83700,483000000,60,false,1.04
"BCE",130850,"/Date(1703570907000)/",5840,100,83500,481000000,60,false,1.04
"BCE",130850,"/Date(1703570907000)/",5830,300,83400,481000000,50,false,0.87
"BCE",130850,"/Date(1703570907000)/",5830,100,83100,479000000,50,false,0.87
"BCE",130850,"/Date(1703570907000)/",5820,200,83000,479000000,40,false,0.69
"BCE",130850,"/Date(1703570907000)/",5820,100,82800,477000000,40,false,0.69
"BCE",130418,"/Date(1703570637000)/",5750,1500,82700,477000000,-30,true,-0.52
"BCE",130355,"/Date(1703570614000)/",5750,3500,81200,468000000,-30,true,-0.52
"BCE",130355,"/Date(1703570614000)/",5750,6000,77700,448000000,-30,true,-0.52
"BCE",130355,"/Date(1703570614000)/",5750,500,71700,414000000,-30,true,-0.52
"BCE",130226,"/Date(1703570523000)/",5780,100,71200,411000000,0,true,0
"BCE",130226,"/Date(1703570523000)/",5780,4000,71100,410000000,0,true,0
"BCE",130047,"/Date(1703570411000)/",5780,4000,67100,387000000,0,true,0
"BCE",130047,"/Date(1703570411000)/",5780,4000,63100,364000000,0,true,0
"BCE",130043,"/Date(1703570404000)/",5780,400,59100,341000000,0,true,0
"BCE",113011,"/Date(1703564995000)/",5820,100,58700,338000000,40,false,0.69
"BCE",113011,"/Date(1703564995000)/",5820,100,58600,338000000,40,false,0.69
"BCE",111428,"/Date(1703564052000)/",5810,100,58500,337000000,30,false,0.52
"BCE",110957,"/Date(1703563782000)/",5780,100,58400,337000000,0,true,0
"BCE",105355,"/Date(1703562819000)/",5780,4500,58300,336000000,0,false,0
"BCE",105225,"/Date(1703562732000)/",5780,3500,53800,310000000,0,true,0
"BCE",105225,"/Date(1703562732000)/",5780,7100,50300,290000000,0,true,0
"BCE",105225,"/Date(1703562732000)/",5780,900,43200,249000000,0,true,0
"BCE",105225,"/Date(1703562732000)/",5780,500,42300,244000000,0,true,0
"BCE",105225,"/Date(1703562732000)/",5780,5000,41800,241000000,0,true,0
"BCE",104656,"/Date(1703562401000)/",5780,5000,36800,212000000,0,false,0
"BCE",104646,"/Date(1703562392000)/",5780,5000,31800,183000000,0,true,0
"BCE",104114,"/Date(1703562062000)/",5800,3000,26800,154000000,20,true,0.35
"BCE",104013,"/Date(1703562002000)/",5800,100,23800,137000000,20,true,0.35
"BCE",103451,"/Date(1703561677000)/",5800,200,23700,136000000,20,true,0.35
"BCE",103302,"/Date(1703561569000)/",5800,1800,23500,135000000,20,true,0.35
"BCE",103123,"/Date(1703561469000)/",5750,1600,21700,124000000,-30,false,-0.52
"BCE",103038,"/Date(1703561424000)/",5750,100,20100,115000000,-30,false,-0.52
"BCE",103038,"/Date(1703561424000)/",5750,4000,20000,115000000,-30,false,-0.52
"BCE",103038,"/Date(1703561424000)/",5750,4300,16000,92000000,-30,false,-0.52
"BCE",103022,"/Date(1703561409000)/",5750,5000,11700,67000000,-30,true,-0.52
"BCE",103009,"/Date(1703561398000)/",5750,600,6700,38000000,-30,true,-0.52
"BCE",102909,"/Date(1703561337000)/",5750,100,6100,35000000,-30,true,-0.52
