"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"LIG",144511,"/Date(1703576701000)/",4300,7800,503511,2165076500,0,false,0
"LIG",142930,"/Date(1703575770000)/",4400,100,495711,2131536500,100,false,2.33
"LIG",142833,"/Date(1703575713000)/",4400,100,495611,2131096500,100,false,2.33
"LIG",142759,"/Date(1703575679000)/",4400,100,495511,2130656500,100,false,2.33
"LIG",142718,"/Date(1703575639000)/",4300,100,495411,2130216500,0,true,0
"LIG",142715,"/Date(1703575635000)/",4300,500,495311,2129786500,0,false,0
"LIG",142713,"/Date(1703575634000)/",4300,200,494811,2127636500,0,false,0
"LIG",142710,"/Date(1703575630000)/",4300,100,494611,2126776500,0,false,0
"LIG",142643,"/Date(1703575603000)/",4300,10000,494511,2126346500,0,false,0
"LIG",142508,"/Date(1703575509000)/",4300,2000,484511,2083346500,0,false,0
"LIG",142414,"/Date(1703575454000)/",4300,1600,482511,2074746500,0,false,0
"LIG",142353,"/Date(1703575434000)/",4300,26,480911,2067866500,0,false,0
"LIG",142232,"/Date(1703575353000)/",4300,1000,480885,2067754700,0,false,0
"LIG",142209,"/Date(1703575330000)/",4300,1000,479885,2063454700,0,false,0
"LIG",142038,"/Date(1703575239000)/",4300,100,478885,2059154700,0,false,0
"LIG",141859,"/Date(1703575139000)/",4300,100,478785,2058724700,0,false,0
"LIG",141737,"/Date(1703575057000)/",4300,1,478685,2058294700,0,false,0
"LIG",141534,"/Date(1703574934000)/",4300,1000,478684,2058290400,0,false,0
"LIG",141408,"/Date(1703574848000)/",4300,2000,477684,2053990400,0,false,0
"LIG",141258,"/Date(1703574778000)/",4300,1000,475684,2045390400,0,false,0
"LIG",141132,"/Date(1703574692000)/",4300,1300,474684,2041090400,0,false,0
"LIG",141109,"/Date(1703574669000)/",4300,800,473384,2035500400,0,true,0
"LIG",140852,"/Date(1703574532000)/",4300,500,472584,2032060400,0,false,0
"LIG",140823,"/Date(1703574503000)/",4300,2700,472084,2029910400,0,true,0
"LIG",140758,"/Date(1703574478000)/",4300,5000,469384,2018300400,0,true,0
"LIG",140719,"/Date(1703574439000)/",4300,5000,464384,1996800400,0,true,0
"LIG",140545,"/Date(1703574345000)/",4300,500,459384,1975300400,0,true,0
"LIG",140222,"/Date(1703574142000)/",4300,500,458884,1973150400,0,true,0
"LIG",135240,"/Date(1703573560000)/",4300,1300,458384,1971000400,0,true,0
"LIG",135149,"/Date(1703573509000)/",4300,800,457084,1965410400,0,true,0
"LIG",135106,"/Date(1703573466000)/",4300,6100,456284,1961970400,0,true,0
"LIG",135103,"/Date(1703573463000)/",4300,10000,450184,1935740400,0,false,0
"LIG",135040,"/Date(1703573440000)/",4300,4900,440184,1892740400,0,true,0
"LIG",134828,"/Date(1703573308000)/",4300,4200,435284,1871670400,0,true,0
"LIG",134825,"/Date(1703573305000)/",4300,800,431084,1853610400,0,false,0
"LIG",134755,"/Date(1703573275000)/",4300,200,430284,1850170400,0,false,0
"LIG",134653,"/Date(1703573213000)/",4300,1800,430084,1849310400,0,false,0
"LIG",134652,"/Date(1703573212000)/",4300,200,428284,1841570400,0,false,0
"LIG",134626,"/Date(1703573186000)/",4300,1000,428084,1840710400,0,false,0
"LIG",134548,"/Date(1703573148000)/",4300,1500,427084,1836410400,0,false,0
"LIG",134540,"/Date(1703573140000)/",4300,5000,425584,1829960400,0,false,0
"LIG",134425,"/Date(1703573065000)/",4300,1700,420584,1808460400,0,false,0
"LIG",134419,"/Date(1703573059000)/",4300,20000,418884,1801150400,0,false,0
"LIG",133843,"/Date(1703572722000)/",4200,1000,398884,1715150400,-100,true,-2.33
"LIG",133750,"/Date(1703572670000)/",4300,3000,397884,1710920400,0,true,0
"LIG",133741,"/Date(1703572660000)/",4300,600,394884,1698020400,0,true,0
"LIG",133654,"/Date(1703572614000)/",4300,1000,394284,1695440400,0,true,0
"LIG",133539,"/Date(1703572539000)/",4300,200,393284,1691140400,0,true,0
"LIG",133515,"/Date(1703572515000)/",4300,2400,393084,1690280400,0,false,0
"LIG",133510,"/Date(1703572510000)/",4300,3000,390684,1679960400,0,false,0
"LIG",133431,"/Date(1703572471000)/",4300,5000,387684,1667060400,0,false,0
"LIG",133424,"/Date(1703572464000)/",4300,800,382684,1645560400,0,false,0
"LIG",133346,"/Date(1703572426000)/",4300,800,381884,1642120400,0,false,0
"LIG",133333,"/Date(1703572413000)/",4300,1500,381084,1638680400,0,false,0
"LIG",132830,"/Date(1703572110000)/",4300,2700,379584,1632230400,0,false,0
"LIG",132720,"/Date(1703572040000)/",4300,2900,376884,1620620400,0,false,0
"LIG",132614,"/Date(1703571974000)/",4300,2900,373984,1608150400,0,true,0
"LIG",132558,"/Date(1703571958000)/",4300,1100,371084,1595680400,0,false,0
"LIG",132548,"/Date(1703571948000)/",4300,10000,369984,1590950400,0,false,0
"LIG",132522,"/Date(1703571922000)/",4300,10000,359984,1547950400,0,false,0
"LIG",132458,"/Date(1703571898000)/",4300,10000,349984,1504950400,0,false,0
"LIG",132340,"/Date(1703571820000)/",4300,200,339984,1461950400,0,false,0
"LIG",132225,"/Date(1703571745000)/",4300,300,339784,1461090400,0,false,0
"LIG",131936,"/Date(1703571576000)/",4300,10000,339484,1459800400,0,false,0
"LIG",131934,"/Date(1703571574000)/",4300,5700,329484,1416800400,0,true,0
"LIG",131755,"/Date(1703571475000)/",4300,200,323784,1392290400,0,true,0
"LIG",131723,"/Date(1703571443000)/",4300,3000,323584,1391430400,0,true,0
"LIG",131328,"/Date(1703571208000)/",4300,9200,320584,1378530400,0,true,0
"LIG",131327,"/Date(1703571207000)/",4300,500,311384,1338970400,0,false,0
"LIG",131324,"/Date(1703571204000)/",4300,10,310884,1336820400,0,false,0
"LIG",131311,"/Date(1703571191000)/",4300,5000,310874,1336777400,0,false,0
"LIG",131307,"/Date(1703571187000)/",4300,200,305874,1315277400,0,false,0
