"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"BIG",145927,"/Date(1703750340000)/",8500,100,444554,3787190100,-400,false,-4.49
"BIG",145910,"/Date(1703750340000)/",8500,100,444454,3786340100,-400,false,-4.49
"BIG",145855,"/Date(1703750340000)/",8400,20400,444354,3785490100,-500,true,-5.62
"BIG",145844,"/Date(1703750340000)/",8500,300,423954,3614130100,-400,false,-4.49
"BIG",145839,"/Date(1703750340000)/",8500,500,423654,3611580100,-400,false,-4.49
"BIG",145008,"/Date(1703749800000)/",8500,200,423154,3607330100,-400,false,-4.49
"BIG",143816,"/Date(1703749080000)/",8500,100,422954,3605630100,-400,true,-4.49
"BIG",143319,"/Date(1703748780000)/",8500,500,422854,3604780100,-400,false,-4.49
"BIG",142556,"/Date(1703748360000)/",8500,500,422354,3600530100,-400,false,-4.49
"BIG",141908,"/Date(1703747940000)/",8500,5000,421854,3596280100,-400,false,-4.49
"BIG",141725,"/Date(1703747820000)/",8500,1,416854,3553780100,-400,false,-4.49
"BIG",141705,"/Date(1703747820000)/",8500,5,416853,3553771300,-400,false,-4.49
"BIG",141516,"/Date(1703747700000)/",8500,100,416848,3553727800,-400,false,-4.49
"BIG",141500,"/Date(1703747700000)/",8300,11500,416748,3552877800,-600,true,-6.74
"BIG",141415,"/Date(1703747640000)/",8500,200,405248,3457257800,-400,false,-4.49
"BIG",140948,"/Date(1703747400000)/",8500,1100,405048,3455557800,-400,false,-4.49
"BIG",140229,"/Date(1703746920000)/",8500,100,403948,3446207800,-400,false,-4.49
"BIG",140216,"/Date(1703746920000)/",8300,30000,403848,3445357800,-600,true,-6.74
"BIG",140149,"/Date(1703746920000)/",8400,100,373848,3196357800,-500,false,-5.62
"BIG",140131,"/Date(1703746920000)/",8400,100,373748,3195517800,-500,false,-5.62
"BIG",140050,"/Date(1703746860000)/",8400,100,373648,3194677800,-500,false,-5.62
"BIG",140008,"/Date(1703746800000)/",8400,2400,373548,3193837800,-500,true,-5.62
"BIG",135504,"/Date(1703746500000)/",8500,100,371148,3173677800,-400,false,-4.49
"BIG",135451,"/Date(1703746500000)/",8400,4000,371048,3172827800,-500,true,-5.62
"BIG",135313,"/Date(1703746380000)/",8400,100,367048,3139227800,-500,true,-5.62
"BIG",135133,"/Date(1703746320000)/",8600,100,366948,3138387800,-300,false,-3.37
"BIG",135116,"/Date(1703746260000)/",8400,10000,366848,3137527800,-500,true,-5.62
"BIG",134643,"/Date(1703746020000)/",8400,2000,356848,3053227800,-500,true,-5.62
"BIG",134355,"/Date(1703745840000)/",8600,600,354848,3036427800,-300,false,-3.37
"BIG",134033,"/Date(1703745660000)/",8600,100,354248,3031267800,-300,false,-3.37
"BIG",133858,"/Date(1703745540000)/",8400,2800,354148,3030407800,-500,true,-5.62
"BIG",133828,"/Date(1703745480000)/",8600,100,351348,3006887800,-300,false,-3.37
"BIG",133717,"/Date(1703745420000)/",8400,10500,351248,3006027800,-500,true,-5.62
"BIG",133539,"/Date(1703745360000)/",8600,25,340748,2917827800,-300,false,-3.37
"BIG",133455,"/Date(1703745300000)/",8600,100,340723,2917610300,-300,false,-3.37
"BIG",133441,"/Date(1703745300000)/",8400,6000,340623,2916750300,-500,true,-5.62
"BIG",133129,"/Date(1703745060000)/",8600,1,334623,2866350300,-300,false,-3.37
"BIG",132751,"/Date(1703744880000)/",8600,100,334622,2866341600,-300,false,-3.37
"BIG",132623,"/Date(1703744760000)/",8400,2300,334522,2865481600,-500,true,-5.62
"BIG",132234,"/Date(1703744580000)/",8600,100,332222,2846121600,-300,false,-3.37
"BIG",132220,"/Date(1703744520000)/",8500,100,332122,2845261600,-400,true,-4.49
"BIG",132154,"/Date(1703744520000)/",8500,5000,332022,2844411600,-400,true,-4.49
