"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"GKM",144507,"/Date(1703749501000)/",35800,600,44000,1557870000,200,false,0.56
"GKM",142948,"/Date(1703748587000)/",35800,500,43400,1536390000,200,false,0.56
"GKM",142935,"/Date(1703748574000)/",35700,6000,42900,1518520000,100,false,0.28
"GKM",142745,"/Date(1703748465000)/",35600,1600,36900,1304810000,0,false,0
"GKM",142555,"/Date(1703748355000)/",34400,1000,35300,1248540000,-1200,true,-3.37
"GKM",142144,"/Date(1703748104000)/",34400,200,34300,1214140000,-1200,true,-3.37
"GKM",135240,"/Date(1703746360000)/",34400,100,34100,1207260000,-1200,true,-3.37
"GKM",134957,"/Date(1703746197000)/",34400,100,34000,1203820000,-1200,true,-3.37
"GKM",130014,"/Date(1703743203000)/",35600,300,33900,1200380000,0,false,0
"GKM",103229,"/Date(1703734349000)/",35700,100,33600,1189700000,100,false,0.28
"GKM",102057,"/Date(1703733657000)/",35000,5800,33500,1186130000,-600,false,-1.69
"GKM",101845,"/Date(1703733525000)/",33700,500,27700,983130000,-1900,false,-5.34
"GKM",101830,"/Date(1703733510000)/",35700,100,27200,966280000,100,false,0.28
"GKM",101815,"/Date(1703733495000)/",33700,800,27100,962710000,-1900,false,-5.34
"GKM",101814,"/Date(1703733494000)/",35700,200,26300,935570000,100,false,0.28
"GKM",101800,"/Date(1703733480000)/",34800,1200,26100,928430000,-800,false,-2.25
"GKM",101354,"/Date(1703733234000)/",35700,200,24900,886470000,100,false,0.28
"GKM",100958,"/Date(1703732998000)/",35700,200,24700,879330000,100,false,0.28
"GKM",94657,"/Date(1703731616000)/",35700,500,24500,872190000,100,false,0.28
"GKM",94355,"/Date(1703731435000)/",35700,700,24000,854340000,100,false,0.28
"GKM",94134,"/Date(1703731294000)/",35700,1100,23300,829350000,100,false,0.28
"GKM",92700,"/Date(1703730420000)/",35600,100,22200,790180000,0,false,0
"GKM",92559,"/Date(1703730359000)/",34900,100,22100,786620000,-700,false,-1.97
"GKM",92520,"/Date(1703730320000)/",34900,100,22000,783130000,-700,true,-1.97
"GKM",90318,"/Date(1703728998000)/",35600,400,21900,779640000,0,false,0
"GKM",90308,"/Date(1703728988000)/",35600,4000,21500,765400000,0,false,0
"GKM",90257,"/Date(1703728977000)/",35600,1600,17500,623000000,0,false,0
"GKM",90246,"/Date(1703728966000)/",35600,5000,15900,566040000,0,false,0
"GKM",90226,"/Date(1703728945000)/",35600,2000,10900,388040000,0,false,0
"GKM",90213,"/Date(1703728933000)/",35600,1200,8900,316840000,0,false,0
"GKM",90204,"/Date(1703728924000)/",35600,1700,7700,274120000,0,false,0
"GKM",90153,"/Date(1703728913000)/",35600,5000,6000,213600000,0,false,0
"GKM",90119,"/Date(1703728831000)/",35600,1000,1000,35600000,0,false,0
