"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"ICT",144507,"/Date(1703749500000)/",11200,2000,19500,216000000,-50,true,-0.44
"ICT",142640,"/Date(1703748394000)/",11200,100,17500,193000000,-50,true,-0.44
"ICT",133544,"/Date(1703745361000)/",11200,500,17400,192000000,-50,true,-0.44
"ICT",130018,"/Date(1703743200000)/",11200,600,16900,186000000,-50,false,-0.44
"ICT",112057,"/Date(1703737255000)/",11200,500,16300,180000000,-50,false,-0.44
"ICT",102501,"/Date(1703733900000)/",11000,400,15800,174000000,-250,false,-2.22
"ICT",102448,"/Date(1703733887000)/",11000,100,15400,170000000,-250,false,-2.22
"ICT",102407,"/Date(1703733843000)/",11000,500,15300,169000000,-250,false,-2.22
"ICT",102209,"/Date(1703733726000)/",10800,1400,14800,163000000,-450,true,-4
"ICT",102146,"/Date(1703733704000)/",11000,2500,13400,148000000,-250,false,-2.22
"ICT",102146,"/Date(1703733704000)/",11000,1000,10900,121000000,-250,false,-2.22
"ICT",102146,"/Date(1703733704000)/",11000,1000,9900,110000000,-250,false,-2.22
"ICT",102146,"/Date(1703733704000)/",11000,900,8900,99000000,-250,false,-2.22
"ICT",102105,"/Date(1703733663000)/",11100,300,8000,89000000,-150,true,-1.33
"ICT",102105,"/Date(1703733663000)/",11100,100,7700,85000000,-150,true,-1.33
"ICT",102105,"/Date(1703733663000)/",11100,500,7600,84000000,-150,true,-1.33
"ICT",102105,"/Date(1703733663000)/",11100,300,7100,79000000,-150,true,-1.33
"ICT",102105,"/Date(1703733663000)/",11100,1000,6800,75000000,-150,true,-1.33
"ICT",102105,"/Date(1703733663000)/",11100,200,5800,64000000,-150,true,-1.33
"ICT",102011,"/Date(1703733609000)/",11150,300,5600,62000000,-100,false,-0.89
"ICT",102011,"/Date(1703733609000)/",11150,500,5300,59000000,-100,false,-0.89
"ICT",101445,"/Date(1703733284000)/",11150,500,4800,53000000,-100,true,-0.89
"ICT",101445,"/Date(1703733284000)/",11150,1000,4300,48000000,-100,true,-0.89
"ICT",101445,"/Date(1703733284000)/",11150,700,3300,36000000,-100,true,-0.89
"ICT",101445,"/Date(1703733284000)/",11150,100,2600,29000000,-100,true,-0.89
"ICT",101445,"/Date(1703733284000)/",11150,200,2500,27000000,-100,true,-0.89
"ICT",101445,"/Date(1703733284000)/",11150,300,2300,25000000,-100,true,-0.89
"ICT",101445,"/Date(1703733284000)/",11150,200,2000,22000000,-100,true,-0.89
"ICT",93332,"/Date(1703730809000)/",11150,800,1800,20000000,-100,true,-0.89
"ICT",93332,"/Date(1703730809000)/",11150,100,1000,11000000,-100,true,-0.89
"ICT",93332,"/Date(1703730809000)/",11150,100,900,10000000,-100,true,-0.89
"ICT",92729,"/Date(1703730446000)/",11150,100,800,8000000,-100,true,-0.89
"ICT",92638,"/Date(1703730395000)/",11200,100,700,7000000,-50,true,-0.44
"ICT",91503,"/Date(1703729700000)/",11250,600,600,6000000,0,true,0
