"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"SGB",144455,"/Date(1703749500000)/",12400,300,15133,187940600,200,false,1.64
"SGB",142747,"/Date(1703748480000)/",12400,500,14833,184220600,200,true,1.64
"SGB",142429,"/Date(1703748240000)/",12400,1000,14333,178020600,200,true,1.64
"SGB",142421,"/Date(1703748240000)/",12400,1000,13333,165620600,200,true,1.64
"SGB",141913,"/Date(1703747940000)/",12400,600,12333,153220600,200,false,1.64
"SGB",141851,"/Date(1703747940000)/",12400,400,11733,145780600,200,false,1.64
"SGB",141811,"/Date(1703747880000)/",12400,600,11333,140820600,200,false,1.64
"SGB",140134,"/Date(1703746920000)/",12400,700,10733,133380600,200,true,1.64
"SGB",134738,"/Date(1703746080000)/",12400,400,10033,124700600,200,false,1.64
"SGB",134558,"/Date(1703745960000)/",12400,400,9633,119740600,200,false,1.64
"SGB",134530,"/Date(1703745900000)/",12400,500,9233,114780600,200,false,1.64
"SGB",134218,"/Date(1703745720000)/",12400,10,8733,108580600,200,false,1.64
"SGB",134115,"/Date(1703745660000)/",12400,100,8723,108455600,200,false,1.64
"SGB",133954,"/Date(1703745600000)/",12400,200,8623,107215600,200,false,1.64
"SGB",131957,"/Date(1703744400000)/",12400,1700,8423,104735600,200,false,1.64
"SGB",131743,"/Date(1703744280000)/",12400,2500,6723,83655600,200,false,1.64
"SGB",130532,"/Date(1703743560000)/",12400,300,4223,52655600,200,false,1.64
"SGB",130508,"/Date(1703743500000)/",12400,500,3923,48935600,200,true,1.64
"SGB",130422,"/Date(1703743440000)/",12400,300,3423,42735600,200,true,1.64
"SGB",130157,"/Date(1703743320000)/",12400,500,3123,39015600,200,true,1.64
"SGB",130020,"/Date(1703743200000)/",12500,200,2623,32815600,300,false,2.46
"SGB",130012,"/Date(1703743200000)/",12500,3,2423,30315600,300,false,2.46
"SGB",104847,"/Date(1703735340000)/",12500,1700,2420,30278100,300,true,2.46
"SGB",104808,"/Date(1703735280000)/",12500,300,720,9028100,300,false,2.46
"SGB",101507,"/Date(1703733300000)/",12500,100,420,5278100,300,false,2.46
"SGB",95921,"/Date(1703732340000)/",12600,200,320,4028100,400,false,3.28
"SGB",95150,"/Date(1703731920000)/",12600,100,120,1508100,400,false,3.28
