"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"CIG",144455,"/Date(1703835900000)/",6480,1600,103000,667000000,-50,false,-0.77
"CIG",142934,"/Date(1703834964000)/",6400,500,101400,657000000,-130,false,-1.99
"CIG",142934,"/Date(1703834964000)/",6400,1000,100900,654000000,-130,false,-1.99
"CIG",141901,"/Date(1703834345000)/",6470,100,99900,647000000,-60,false,-0.92
"CIG",141829,"/Date(1703834314000)/",6470,100,99800,647000000,-60,false,-0.92
"CIG",141806,"/Date(1703834291000)/",6470,100,99700,646000000,-60,false,-0.92
"CIG",141701,"/Date(1703834228000)/",6470,700,99600,645000000,-60,false,-0.92
"CIG",141619,"/Date(1703834186000)/",6400,100,98900,641000000,-130,false,-1.99
"CIG",141603,"/Date(1703834170000)/",6400,100,98800,640000000,-130,false,-1.99
"CIG",141502,"/Date(1703834109000)/",6400,200,98700,640000000,-130,false,-1.99
"CIG",141502,"/Date(1703834109000)/",6400,1700,98500,638000000,-130,false,-1.99
"CIG",141400,"/Date(1703834048000)/",6400,1200,96800,627000000,-130,false,-1.99
"CIG",141315,"/Date(1703834006000)/",6400,500,95600,620000000,-130,false,-1.99
"CIG",141305,"/Date(1703833994000)/",6400,500,95100,617000000,-130,false,-1.99
"CIG",141302,"/Date(1703833990000)/",6400,1000,94600,613000000,-130,false,-1.99
"CIG",141242,"/Date(1703833973000)/",6400,100,93600,607000000,-130,false,-1.99
"CIG",141150,"/Date(1703833921000)/",6400,2000,93500,606000000,-130,false,-1.99
"CIG",141144,"/Date(1703833915000)/",6400,500,91500,594000000,-130,false,-1.99
"CIG",141049,"/Date(1703833860000)/",6400,100,91000,590000000,-130,false,-1.99
"CIG",141020,"/Date(1703833832000)/",6400,500,90900,590000000,-130,false,-1.99
"CIG",140720,"/Date(1703833652000)/",6390,300,90400,586000000,-140,true,-2.14
"CIG",140622,"/Date(1703833593000)/",6400,900,90100,585000000,-130,false,-1.99
"CIG",140550,"/Date(1703833561000)/",6400,1800,89200,579000000,-130,true,-1.99
