"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"SSN",142437,"/Date(1703834700000)/",1600,100,28400,41660000,100,false,6.67
"SSN",142115,"/Date(1703834460000)/",1400,500,28300,41500000,-100,true,-6.67
"SSN",141819,"/Date(1703834280000)/",1500,500,27800,40800000,0,false,0
"SSN",135308,"/Date(1703832780000)/",1400,6200,27300,40050000,-100,true,-6.67
"SSN",134832,"/Date(1703832540000)/",1500,100,21100,31370000,0,true,0
"SSN",130527,"/Date(1703829900000)/",1500,300,21000,31220000,0,false,0
"SSN",130428,"/Date(1703829840000)/",1500,300,20700,30770000,0,false,0
"SSN",130417,"/Date(1703829840000)/",1500,7000,20400,30320000,0,false,0
"SSN",130012,"/Date(1703829600000)/",1400,100,13400,19820000,-100,true,-6.67
"SSN",130007,"/Date(1703829600000)/",1400,500,13300,19680000,-100,true,-6.67
"SSN",112449,"/Date(1703823900000)/",1400,100,12800,18980000,-100,true,-6.67
"SSN",110021,"/Date(1703822400000)/",1500,10000,12700,18840000,0,false,0
"SSN",105748,"/Date(1703822280000)/",1400,2100,2700,3840000,-100,true,-6.67
"SSN",105657,"/Date(1703822220000)/",1500,600,600,900000,0,false,0
